Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
EEM,40.68,Call,41,2023-07-21,1,0.1,0.12,0.14,0.14,11778,63552,"-38,032",31.58%,2023-07-19
EEM,40.68,Put,40.5,2023-07-21,1,0.07,0.1,0.13,0.13,6653,19357,"-28,993",24.64%,2023-07-19
XLF,35.12,Put,32,2023-09-15,57,0.12,0.13,0.13,0.11,23233,62402,"-27,540",19.52%,2023-07-19
IWM,196.8,Call,200,2023-07-21,1,0.25,0.26,0.27,0.25,12852,25047,"-15,145",30.02%,2023-07-19
SPY,455.2,Put,390,2023-09-15,57,0.78,0.79,0.79,0.78,928,65872,"-13,523",24.22%,2023-07-19
KRE,47.15,Call,44,2023-07-21,1,2.86,3.33,3.8,3.22,542,18781,"-12,726",90.24%,2023-07-19
HYG,75.51,Put,73,2023-10-20,92,0.48,0.53,0.59,0.57,29786,115948,"-11,999",10.17%,2023-07-19
SLV,23.1,Call,38,2024-01-19,183,0.16,0.17,0.17,0.16,25425,52328,"-10,919",39.72%,2023-07-19
KRE,47.15,Call,46,2023-07-21,1,0.99,1.27,1.55,1.33,7516,13155,"-9,941",59.78%,2023-07-19
TQQQ,46.32,Call,48,2023-07-21,1,0.26,0.27,0.28,0.27,12566,12063,"-9,933",87.36%,2023-07-19
IWM,196.8,Call,195,2023-07-21,1,2.3,2.36,2.41,2.35,3220,40052,"-9,839",30.14%,2023-07-19
KRE,47.15,Call,47.5,2023-07-28,8,0.82,0.99,1.17,1,717,420,"-9,809",41.50%,2023-07-19
XLF,35.12,Call,35,2023-07-21,1,0.19,0.22,0.24,0.21,18579,45063,"-9,610",19.13%,2023-07-19
SPY,455.2,Put,420,2023-08-18,29,0.59,0.6,0.6,0.61,12838,110437,"-7,689",18.96%,2023-07-19
QQQ,385.65,Call,385,2023-07-21,1,2.31,2.38,2.45,2.31,38740,44642,"-6,436",24.13%,2023-07-19
IWM,196.8,Call,192,2023-09-15,57,9.63,9.68,9.73,9.61,624,23546,"-6,053",20.52%,2023-07-19
SPY,455.2,Call,455,2023-07-21,1,1.69,1.69,1.7,1.7,58523,20469,"-6,014",16.57%,2023-07-19
IWM,196.8,Call,200,2023-09-15,57,4.81,4.84,4.86,4.78,2296,60320,"-5,440",18.55%,2023-07-19
SPY,455.2,Call,457,2023-07-21,1,0.87,0.88,0.88,0.86,68145,18714,"-4,421",16.82%,2023-07-19
KRE,47.15,Call,45,2023-07-28,8,2.22,2.5,2.77,2.58,1796,7778,"-4,282",44.14%,2023-07-19
IWM,196.8,Call,205,2023-09-15,57,2.77,2.79,2.81,2.82,8560,75140,"-4,079",17.74%,2023-07-19
SPY,455.2,Call,460,2023-07-21,1,0.24,0.25,0.25,0.25,74916,36272,"-3,919",17.12%,2023-07-19
IWM,196.8,Put,175,2023-09-15,57,0.81,0.83,0.84,0.82,8739,78724,"-3,806",24.15%,2023-07-19
IWM,196.8,Call,197,2023-08-04,15,3.18,3.21,3.23,3.17,4308,4095,"-3,703",19.86%,2023-07-19
SPY,455.2,Call,445,2023-07-21,1,10.22,10.24,10.26,10.35,1562,19013,"-3,317",18.84%,2023-07-19
IWM,196.8,Call,190,2023-07-21,1,6.87,6.97,7.06,6.95,879,50771,"-2,856",44.77%,2023-07-19
KWEB,28.29,Call,28,2023-07-21,1,0.52,0.54,0.57,0.55,562,16557,"-2,657",65.58%,2023-07-19
IWM,196.8,Call,195,2023-09-15,57,7.61,7.65,7.69,7.64,750,43144,"-2,533",19.64%,2023-07-19
SQQQ,16.66,Call,18,2023-09-15,57,1.04,1.06,1.07,1.07,699,4626,"-2,469",60.27%,2023-07-19
QQQ,385.65,Call,383,2023-07-21,1,3.49,3.58,3.67,3.75,4851,11772,"-2,233",24.18%,2023-07-19
SPY,455.2,Put,426,2023-08-18,29,0.78,0.79,0.79,0.71,1227,11508,"-2,120",17.47%,2023-07-19
TQQQ,46.32,Call,45,2023-07-21,1,1.55,1.61,1.66,1.63,6533,14917,"-2,104",83.77%,2023-07-19
SPY,455.2,Call,450,2023-07-21,1,5.4,5.42,5.43,5.41,6153,28031,"-1,839",16.56%,2023-07-19
SQQQ,16.66,Call,17,2023-09-15,57,1.37,1.38,1.38,1.37,843,4219,"-1,838",57.42%,2023-07-19
SOXS,8.81,Call,8.5,2023-07-21,1,0.4,0.43,0.45,0.44,1072,2002,"-1,791",141.46%,2023-07-19
IWM,196.8,Call,197,2023-07-21,1,1.12,1.14,1.15,1.12,10514,10162,"-1,698",29.39%,2023-07-19
QQQ,385.65,Call,380,2023-07-21,1,5.75,5.85,5.94,5.99,4882,28979,"-1,669",20.27%,2023-07-19
SPXU,9.92,Put,10.5,2023-07-21,1,0.57,0.62,0.66,0.65,1054,2540,"-1,625",124.61%,2023-07-19
QQQ,385.65,Put,340,2023-09-15,57,1.5,1.52,1.53,1.5,1156,37578,"-1,553",25.13%,2023-07-19
SPY,455.2,Call,454,2023-07-21,1,2.26,2.26,2.27,2.24,26587,11329,"-1,519",16.48%,2023-07-19
IWM,196.8,Put,187,2023-08-18,29,1.01,1.03,1.04,1.04,515,10239,"-1,506",20.47%,2023-07-19
