Symbol,Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
AMC|20230616|10.00P,AMC,5.13,Put,10,2023-06-16,30,5.05,5.18,5.3,5.17,2753,62765,"-13,150",215.65%,"13:51 ET"
XP|20230519|16.00P,XP,16.32,Put,16,2023-05-19,2,0.15,0.22,0.3,0.2,1010,12177,"-12,875",69.21%,"13:09 ET"
GOOGL|20230519|120.00C,GOOGL,121.39,Call,120,2023-05-19,2,1.81,1.82,1.82,1.81,24568,16568,"-11,607",28.46%,"13:56 ET"
UBER|20230616|40.00C,UBER,37.81,Call,40,2023-06-16,30,0.59,0.6,0.6,0.6,598,44303,"-10,747",31.65%,"13:55 ET"
PBR|20230616|12.00C,PBR,11.82,Call,12,2023-06-16,30,0.33,0.35,0.37,0.36,655,28868,"-9,742",36.50%,"13:50 ET"
AMD|20230519|100.00C,AMD,103.79,Call,100,2023-05-19,2,3.9,3.97,4.05,3.9,15976,20821,"-8,746",39.81%,"13:56 ET"
TSLA|20230519|165.00P,TSLA,174.1,Put,165,2023-05-19,2,0.32,0.33,0.33,0.32,63742,25373,"-7,748",54.96%,"13:56 ET"
TSLA|20230519|165.00C,TSLA,174.1,Call,165,2023-05-19,2,9.25,9.3,9.35,9.15,9578,21818,"-6,859",58.64%,"13:55 ET"
AMZN|20230519|115.00C,AMZN,115.31,Call,115,2023-05-19,2,1.24,1.25,1.26,1.25,59031,38945,"-6,569",34.20%,"13:56 ET"
ET|20231020|11.00C,ET,12.59,Call,11,2023-10-20,156,1.86,1.88,1.9,1.89,5710,13844,"-6,251",33.60%,"13:56 ET"
CPRX|20230616|15.00C,CPRX,12.53,Call,15,2023-06-16,30,0.15,0.18,0.2,0.2,3585,14952,"-5,568",61.31%,"13:51 ET"
BA|20230519|210.00C,BA,208.48,Call,210,2023-05-19,2,1,1.04,1.08,1.03,7388,6485,"-5,212",29.15%,"13:56 ET"
BA|20230519|210.00P,BA,208.48,Put,210,2023-05-19,2,2.62,2.75,2.88,2.9,915,3019,"-5,014",27.07%,"13:54 ET"
LOW|20230519|200.00P,LOW,206.04,Put,200,2023-05-19,2,0.27,0.3,0.32,0.29,1335,3872,"-4,803",33.65%,"13:50 ET"
MSFT|20230519|310.00C,MSFT,313.94,Call,310,2023-05-19,2,4.4,4.48,4.55,4.5,4963,12815,"-4,327",21.88%,"13:55 ET"
AMZN|20230519|116.00C,AMZN,115.31,Call,116,2023-05-19,2,0.78,0.79,0.8,0.79,63856,9004,"-4,284",33.91%,"13:56 ET"
XP|20230616|17.00C,XP,16.32,Call,17,2023-06-16,30,0.65,0.68,0.7,0.65,11166,21284,"-4,034",48.88%,"13:36 ET"
USB|20230519|30.00P,USB,30.34,Put,30,2023-05-19,2,0.3,0.35,0.4,0.35,775,16876,"-4,025",53.28%,"13:33 ET"
AMZN|20230519|110.00C,AMZN,115.31,Call,110,2023-05-19,2,5.25,5.33,5.4,5.39,4165,33138,"-3,995",50.31%,"13:55 ET"
AAPL|20230721|175.00C,AAPL,172.55,Call,175,2023-07-21,65,5.5,5.55,5.6,5.55,3133,37179,"-3,801",20.32%,"13:56 ET"
INTC|20230519|30.00P,INTC,29.14,Put,30,2023-05-19,2,0.9,0.92,0.93,0.92,654,9177,"-3,557",38.11%,"13:43 ET"
AMD|20230616|95.00C,AMD,103.79,Call,95,2023-06-16,30,10.95,11.02,11.1,11.05,1147,27020,"-3,448",46.34%,"13:51 ET"
ABBV|20230519|155.00P,ABBV,143.09,Put,155,2023-05-19,2,11.85,11.95,12.05,12.48,501,1483,"-3,444",46.06%,"13:00 ET"
MSFT|20230519|315.00C,MSFT,313.94,Call,315,2023-05-19,2,1.23,1.24,1.25,1.23,27046,37623,"-3,224",18.78%,"13:56 ET"
PLTR|20230519|9.00C,PLTR,10.17,Call,9,2023-05-19,2,1.14,1.15,1.17,1.15,2963,21832,"-3,114",94.99%,"13:54 ET"
AMD|20230526|100.00C,AMD,103.79,Call,100,2023-05-26,9,5,5.05,5.1,5,2609,3480,"-3,101",41.48%,"13:56 ET"
AMZN|20230519|111.00C,AMZN,115.31,Call,111,2023-05-19,2,4.3,4.38,4.45,4.5,978,12156,"-3,076",42.09%,"13:51 ET"
AAPL|20230721|175.00P,AAPL,172.55,Put,175,2023-07-21,65,6.3,6.32,6.35,6.39,705,10531,"-3,069",19.85%,"13:53 ET"
HZNP|20230519|100.00P,HZNP,100.42,Put,100,2023-05-19,2,0.45,0.48,0.5,0.5,8623,23154,"-2,975",26.09%,"13:56 ET"
AMD|20230818|100.00C,AMD,103.79,Call,100,2023-08-18,93,11.8,11.88,11.95,11.85,650,14180,"-2,954",44.81%,"13:55 ET"
META|20230519|235.00P,META,243.62,Put,235,2023-05-19,2,0.19,0.2,0.2,0.2,10464,11997,"-2,684",32.89%,"13:56 ET"
TTWO|20230519|120.00P,TTWO,125.9,Put,120,2023-05-19,2,1.47,1.52,1.56,1.56,6542,14389,"-2,646",101.89%,"13:56 ET"
SHOP|20230519|62.00P,SHOP,60.68,Put,62,2023-05-19,2,1.71,1.73,1.76,1.6,693,2573,"-2,635",49.20%,"13:46 ET"
F|20230721|12.00C,F,11.61,Call,12,2023-07-21,65,0.49,0.5,0.5,0.49,1971,11200,"-2,556",36.21%,"13:56 ET"
TSLA|20230616|150.00P,TSLA,174.1,Put,150,2023-06-16,30,2.01,2.02,2.03,2.03,15437,29045,"-2,496",52.91%,"13:55 ET"
AMZN|20230519|112.00C,AMZN,115.31,Call,112,2023-05-19,2,3.4,3.45,3.5,3.55,1940,12601,"-2,323",38.44%,"13:54 ET"
TRIP|20230616|15.00P,TRIP,15.9,Put,15,2023-06-16,30,0.35,0.38,0.4,0.4,2133,3520,"-2,320",44.44%,"13:03 ET"
DLR|20230519|90.00P,DLR,96.53,Put,90,2023-05-19,2,0.1,0.13,0.15,0.15,530,8898,"-2,302",63.92%,"13:49 ET"
BA|20230519|205.00P,BA,208.48,Put,205,2023-05-19,2,0.61,0.67,0.72,0.7,2516,1924,"-2,257",30.69%,"13:56 ET"
GOOGL|20230519|117.00C,GOOGL,121.39,Call,117,2023-05-19,2,4.15,4.33,4.5,4.44,790,8843,"-2,230",35.33%,"13:55 ET"
AMD|20230519|97.00C,AMD,103.79,Call,97,2023-05-19,2,6.7,6.8,6.9,6.94,994,5247,"-2,184",50.38%,"13:51 ET"
HD|20230519|310.00P,HD,293.35,Put,310,2023-05-19,2,17,17.18,17.35,16.45,1556,355,"-2,122",45.22%,"13:00 ET"
XP|20230616|14.00C,XP,16.32,Call,14,2023-06-16,30,2.55,2.63,2.7,2.65,3500,11037,"-2,107",62.67%,"12:44 ET"
AMD|20230519|98.00C,AMD,103.79,Call,98,2023-05-19,2,5.75,5.83,5.9,5.95,972,9080,"-2,102",47.41%,"13:52 ET"
TGT|20230616|145.00P,TGT,161.21,Put,145,2023-06-16,30,0.82,0.84,0.85,0.83,865,5262,"-2,047",31.95%,"13:47 ET"
PBR|20230721|15.00P,PBR,11.82,Put,15,2023-07-21,65,3.8,3.85,3.9,3.85,8007,46988,"-1,997",71.97%,"11:46 ET"
BA|20230519|205.00C,BA,208.48,Call,205,2023-05-19,2,3.85,3.97,4.1,3.97,6446,5501,"-1,990",32.78%,"13:56 ET"
WFC|20230616|40.00C,WFC,40.46,Call,40,2023-06-16,30,1.67,1.69,1.7,1.67,3999,23543,"-1,906",30.94%,"13:56 ET"
AMC|20230519|13.00P,AMC,5.13,Put,13,2023-05-19,2,7.85,7.9,7.95,7.91,12500,75566,"-1,801",549.49%,"13:00 ET"
TGT|20230616|160.00P,TGT,161.21,Put,160,2023-06-16,30,4,4.05,4.1,4.05,1246,3211,"-1,716",25.75%,"13:55 ET"
PBR|20230519|10.00C,PBR,11.82,Call,10,2023-05-19,2,1.81,1.83,1.84,1.83,1715,4624,"-1,652",133.82%,"13:53 ET"
AMC|20230519|5.50P,AMC,5.13,Put,5.5,2023-05-19,2,0.44,0.45,0.47,0.47,1721,15348,"-1,597",136.95%,"13:55 ET"
NVDA|20230519|290.00C,NVDA,300.35,Call,290,2023-05-19,2,11.1,11.18,11.25,11.1,7345,19995,"-1,568",40.94%,"13:56 ET"
HZNP|20230519|105.00P,HZNP,100.42,Put,105,2023-05-19,2,4.3,4.5,4.7,4.38,5217,15803,"-1,555",55.21%,"12:49 ET"
TSLA|20230602|175.00C,TSLA,174.1,Call,175,2023-06-02,16,5.9,5.95,6,5.95,3958,4827,"-1,495",43.46%,"13:56 ET"
NVDA|20230526|280.00C,NVDA,300.35,Call,280,2023-05-26,9,25,25.13,25.25,25.11,942,7321,"-1,468",65.50%,"13:56 ET"
GOOGL|20230519|115.00C,GOOGL,121.39,Call,115,2023-05-19,2,6.1,6.28,6.45,6.4,828,18917,"-1,466",43.70%,"13:54 ET"
XP|20230519|15.00C,XP,16.32,Call,15,2023-05-19,2,1.3,1.38,1.45,1.3,3010,42982,"-1,441",125.31%,"10:47 ET"
PNC|20230519|120.00P,PNC,118.78,Put,120,2023-05-19,2,2.1,2.2,2.3,2.25,3013,1966,"-1,436",39.74%,"13:06 ET"
WMT|20230519|144.00P,WMT,149.64,Put,144,2023-05-19,2,0.68,0.7,0.71,0.69,678,1450,"-1,414",59.85%,"13:50 ET"
GOOGL|20230526|121.00C,GOOGL,121.39,Call,121,2023-05-26,9,2.28,2.29,2.3,2.3,3122,3256,"-1,366",27.32%,"13:56 ET"
F|20230519|12.00P,F,11.61,Put,12,2023-05-19,2,0.42,0.43,0.44,0.43,892,20955,"-1,309",33.30%,"13:55 ET"
BAC|20230519|29.00P,BAC,28.6,Put,29,2023-05-19,2,0.48,0.49,0.5,0.5,969,18965,"-1,292",28.71%,"13:43 ET"
SPRY|20230616|5.00C,SPRY,8.35,Call,5,2023-06-16,30,3.3,3.45,3.6,3.9,4855,5098,"-1,257",93.93%,"10:59 ET"
NVDA|20230519|287.50C,NVDA,300.35,Call,287.5,2023-05-19,2,13.35,13.48,13.6,13.45,730,4571,"-1,256",43.79%,"13:51 ET"
GOOGL|20230616|120.00C,GOOGL,121.39,Call,120,2023-06-16,30,4.7,4.73,4.75,4.75,2268,35801,"-1,243",27.29%,"13:56 ET"
ISEE|20230519|37.00P,ISEE,36.95,Put,37,2023-05-19,2,0.25,0.33,0.4,0.34,1216,15890,"-1,231",29.70%,"13:39 ET"
PFE|20230616|40.00P,PFE,36.85,Put,40,2023-06-16,30,3.15,3.18,3.2,3.14,804,22136,"-1,203",16.32%,"13:50 ET"
NVDA|20230519|285.00C,NVDA,300.35,Call,285,2023-05-19,2,15.75,15.88,16,15.85,3901,8807,"-1,163",46.74%,"13:52 ET"
VKTX|20230721|30.00C,VKTX,24.58,Call,30,2023-07-21,65,1.9,2.1,2.3,2.21,674,4041,"-1,144",94.97%,"13:39 ET"
AMD|20230519|95.00C,AMD,103.79,Call,95,2023-05-19,2,8.7,8.77,8.85,8.8,814,15037,"-1,121",63.17%,"13:54 ET"
NYCB|20230519|10.00C,NYCB,11.09,Call,10,2023-05-19,2,1,1.1,1.2,1.2,514,14078,"-1,117",179.46%,"13:33 ET"
