Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
SOFI,8.59,Call,8,2023-08-18,59,1.36,1.38,1.39,1.38,1090,55263,"-22,628",77.19%,"15:55 ET"
NVDA,438.08,Call,500,2023-07-21,31,6.05,6.18,6.3,6.2,8911,29374,"-20,553",47.48%,"15:59 ET"
CCJ,31.95,Call,37,2023-07-21,31,0.15,0.16,0.16,0.17,766,7554,"-20,242",36.67%,2023-06-20
NKLA,1.32,Call,1,2023-07-21,31,0.4,0.41,0.42,0.41,3811,14097,"-16,484",157.64%,"15:58 ET"
AAPL,185.01,Call,190,2023-09-15,87,5.95,6.03,6.1,6.05,2584,22424,"-8,735",20.41%,"15:56 ET"
INTC,35,Call,40,2024-01-19,213,2.37,2.42,2.46,2.37,5240,55086,"-7,710",38.09%,"15:59 ET"
DIS,89.75,Put,80,2023-07-21,31,0.27,0.28,0.28,0.27,1393,17582,"-6,706",29.36%,2023-06-20
PLUG,9.98,Call,10,2023-08-18,59,1.35,1.37,1.38,1.38,720,16246,"-5,646",84.90%,"15:59 ET"
SNAP,10.58,Call,15,2024-01-19,213,0.77,0.78,0.79,0.78,10444,38280,"-3,919",58.99%,2023-06-20
NKLA,1.32,Call,1,2023-06-30,10,0.3,0.33,0.36,0.34,854,4302,"-3,637",150.11%,"15:57 ET"
BABA,87.93,Call,100,2023-07-21,31,1.17,1.18,1.19,1.18,5099,28012,"-3,294",45.75%,2023-06-20
AAL,16.32,Call,15,2023-08-18,59,1.85,1.87,1.89,1.81,1070,13134,"-3,134",39.37%,"15:22 ET"
HZNP,101.43,Put,100,2023-08-18,59,2.05,2.18,2.3,1.95,2365,44331,"-2,990",19.44%,"12:12 ET"
NVDA,438.08,Call,400,2023-08-18,59,54.8,55.15,55.5,55.7,1717,7454,"-2,980",44.96%,"15:57 ET"
ATVI,81.89,Call,92.5,2023-07-21,31,0.46,0.48,0.49,0.47,3798,19518,"-2,414",33.45%,"15:56 ET"
SHOP,64.26,Call,55,2023-09-15,87,12.6,12.68,12.75,12.75,2519,7863,"-2,308",57.76%,2023-06-20
PLTR,15.79,Call,20,2023-08-18,59,0.79,0.8,0.8,0.79,5312,21174,"-2,149",79.76%,2023-06-20
ATVI,81.89,Put,65,2024-01-19,213,1.1,1.18,1.25,1.1,5511,129273,"-1,999",30.35%,"15:11 ET"
ATVI,81.89,Put,77.5,2024-01-19,213,3.7,3.9,4.1,3.8,1000,21447,"-1,979",27.18%,"15:11 ET"
BABA,87.93,Call,120,2023-09-15,87,1.23,1.27,1.3,1.3,807,14086,"-1,927",49.72%,2023-06-20
BABA,87.93,Call,110,2023-08-18,59,1.35,1.4,1.45,1.43,831,9244,"-1,882",50.09%,2023-06-20
TSLA,274.45,Put,180,2023-07-21,31,0.7,0.72,0.74,0.73,4298,21916,"-1,776",80.88%,"15:59 ET"
NIO,9.35,Put,9,2023-06-23,3,0.11,0.11,0.12,0.12,18637,14382,"-1,715",78.18%,2023-06-20
AMC,4.59,Put,4,2023-07-21,31,0.78,0.79,0.79,0.78,7289,242101,"-1,699",215.54%,2023-06-20
BABA,87.93,Call,85,2023-08-18,59,8.05,8.1,8.15,8.1,1930,8674,"-1,684",44.30%,2023-06-20
VZ,35.81,Call,36,2023-07-21,31,0.52,0.54,0.56,0.54,689,22196,"-1,662",15.65%,2023-06-20
SOFI,8.59,Call,10,2024-01-19,213,1.32,1.33,1.34,1.31,2381,49312,"-1,553",66.43%,"15:57 ET"
UBER,42.17,Call,45,2023-07-21,31,0.69,0.7,0.7,0.7,13640,17364,"-1,530",33.69%,2023-06-20
TSLA,274.45,Call,292.5,2023-06-23,3,1.92,1.95,1.98,1.95,9708,3237,"-1,504",76.82%,"15:59 ET"
AAPL,185.01,Put,160,2023-07-21,31,0.18,0.19,0.19,0.19,6042,39814,"-1,487",28.06%,"15:57 ET"
UBER,42.17,Call,42,2023-06-23,3,0.68,0.69,0.7,0.72,864,1764,"-1,260",38.87%,2023-06-20
SOFI,8.59,Call,15,2024-01-19,213,0.44,0.45,0.45,0.45,1904,23373,"-1,206",67.40%,"15:58 ET"
NVDA,438.08,Call,455,2023-07-07,17,9.95,10.2,10.45,10.25,1260,1121,"-1,199",44.33%,"15:58 ET"
RIVN,15.7,Call,15,2023-06-30,10,1.27,1.29,1.3,1.28,3027,5862,"-1,141",86.24%,"15:57 ET"
U,40.01,Call,40,2023-07-21,31,3,3.05,3.1,3.05,3796,12327,"-1,123",63.80%,2023-06-20
BABA,87.93,Put,75,2023-08-18,59,1.33,1.37,1.4,1.36,1026,6787,"-1,111",44.41%,2023-06-20
NIO,9.35,Call,11,2023-07-21,31,0.28,0.29,0.29,0.3,907,16320,"-1,098",73.03%,2023-06-20
LYFT,9.75,Call,10,2023-07-21,31,0.54,0.55,0.55,0.55,924,14732,"-1,082",56.62%,"15:54 ET"
ATVI,81.89,Call,95,2024-01-19,213,1.73,1.84,1.95,1.85,894,104797,"-1,056",20.83%,"15:13 ET"
XPEV,10.88,Call,15,2025-01-17,577,2.15,2.37,2.58,2.3,1030,2654,"-1,047",59.36%,2023-06-20
MARA,11.72,Call,9,2023-06-23,3,2.66,2.71,2.75,2.72,2242,1836,"-1,030",168.15%,"15:59 ET"
PLTR,15.79,Call,42,2024-01-19,213,0.37,0.38,0.38,0.38,1083,50265,"-1,022",79.47%,2023-06-20
OPEN,3.07,Call,3.5,2023-07-21,31,0.26,0.27,0.28,0.27,2494,3315,"-1,020",118.07%,"15:48 ET"
AMZN,125.78,Put,140,2023-09-15,87,15.95,16.08,16.2,16,2734,3500,-967,30.35%,"13:27 ET"
COIN,57.09,Put,48,2023-06-30,10,0.45,0.48,0.51,0.48,561,1556,-941,91.07%,"15:58 ET"
META,284.33,Call,300,2023-08-18,59,13.15,13.25,13.35,13.25,2160,4999,-917,41.03%,"15:59 ET"
BABA,87.93,Call,120,2023-08-18,59,0.78,0.82,0.85,0.82,7783,8745,-908,53.96%,2023-06-20
AMC,4.59,Put,5,2023-06-30,10,0.76,0.78,0.79,0.77,984,6397,-904,172.70%,2023-06-20
F,14.22,Call,19.35,2024-01-19,213,0.21,0.22,0.23,0.22,4011,118594,-845,34.42%,2023-06-20
PINS,25.21,Call,25,2023-06-23,3,0.46,0.48,0.49,0.49,888,2689,-811,40.69%,2023-06-20
AAPL,185.01,Put,150,2023-09-15,87,0.7,0.71,0.72,0.69,1618,29472,-805,30.05%,"15:59 ET"
ADBE,485.86,Call,550,2023-06-30,10,0.61,0.67,0.73,0.7,617,919,-791,43.80%,"15:50 ET"
NVDA,438.08,Call,430,2023-06-23,3,12.5,12.63,12.75,12.75,24232,5654,-787,50.65%,"15:59 ET"
PLTR,15.79,Call,16,2023-07-21,31,1.15,1.15,1.16,1.16,4739,16735,-785,66.74%,2023-06-20
TSLA,274.45,Call,290,2023-06-30,10,6.1,6.15,6.2,6.15,8483,7446,-778,65.90%,"15:59 ET"
SPCE,6.01,Call,4,2023-07-21,31,2.22,2.28,2.34,2.24,1134,4384,-774,154.54%,2023-06-20
AMC,4.59,Call,5,2023-06-30,10,0.18,0.19,0.19,0.19,6235,10014,-770,112.68%,2023-06-20
TSLA,274.45,Call,257.5,2023-06-23,3,18.05,18.2,18.35,18.27,6722,6821,-744,67.11%,"15:59 ET"
MSFT,338.05,Call,340,2023-08-18,59,13.9,14.13,14.35,14.35,959,12160,-727,26.10%,"15:59 ET"
AAPL,185.01,Put,155,2023-07-21,31,0.13,0.14,0.14,0.13,8597,18168,-724,31.02%,"15:57 ET"
XPEV,10.88,Call,17.5,2025-01-17,577,1.72,1.92,2.11,2,1001,1658,-708,62.86%,2023-06-20
PBR,14.23,Call,15,2023-07-21,31,0.3,0.31,0.32,0.3,11181,41460,-707,37.93%,2023-06-20
NKLA,1.32,Call,2,2024-01-19,213,0.23,0.25,0.27,0.22,930,29501,-705,104.55%,"15:44 ET"
BABA,87.93,Call,95,2023-07-21,31,1.93,1.98,2.03,2.01,5117,28745,-703,43.31%,2023-06-20
TSLA,274.45,Put,175,2023-07-21,31,0.6,0.62,0.63,0.62,1651,11036,-685,83.06%,"15:57 ET"
INTC,35,Call,36,2023-07-21,31,1.2,1.22,1.24,1.23,2479,13550,-665,40.34%,"15:59 ET"
NFLX,434.7,Call,460,2023-06-23,3,0.94,0.98,1.01,0.95,2684,1682,-665,48.65%,"15:58 ET"
BAC,28.87,Call,35,2024-01-19,213,0.48,0.49,0.5,0.5,8959,107443,-657,24.06%,2023-06-20
PLUG,9.98,Call,11,2023-06-30,10,0.24,0.25,0.26,0.25,929,2857,-639,90.99%,"15:57 ET"
