Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
WBD,13.28,Call,12,2023-07-21,1,1.28,1.34,1.4,1.35,15428,39931,"-23,470",168.00%,2023-07-19
BAC,31.53,Call,30,2023-07-21,1,1.51,1.54,1.57,1.57,9724,65829,"-20,312",67.23%,2023-07-19
NKLA,2.59,Call,2,2023-07-21,1,0.57,0.59,0.6,0.58,2778,60390,"-16,359",317.54%,2023-07-19
NKLA,2.59,Call,1.5,2023-07-21,1,1.07,1.1,1.12,1.08,657,15999,"-13,603",758.26%,2023-07-19
WFC,46.26,Call,45,2023-07-21,1,1.29,1.35,1.4,1.34,7037,25140,"-11,910",47.76%,2023-07-19
PLTR,18.05,Put,14,2023-11-17,120,0.95,0.98,1,0.96,5161,21512,"-10,926",70.87%,2023-07-19
ATVI,92.2,Call,90,2023-07-21,1,2.22,2.26,2.3,2.27,30493,76990,"-8,645",33.07%,2023-07-19
F,14.1,Put,14,2023-09-15,57,0.69,0.7,0.71,0.69,519,15792,"-7,727",32.44%,2023-07-19
BAC,31.53,Call,29.5,2023-07-21,1,2.02,2.05,2.08,2.01,1533,15955,"-7,481",72.48%,2023-07-19
RIVN,24.83,Call,30,2023-08-18,29,1.04,1.05,1.06,1.06,7162,28622,"-7,371",95.27%,2023-07-19
BAC,31.53,Call,38,2024-01-19,183,0.31,0.32,0.32,0.33,10233,52766,"-6,919",21.30%,2023-07-19
AG,6.99,Call,7,2023-07-21,1,0.1,0.12,0.13,0.1,2833,6537,"-6,837",71.54%,2023-07-19
BABA,92.09,Call,115,2023-08-18,29,0.51,0.53,0.54,0.53,1037,12179,"-6,760",53.91%,2023-07-19
LYFT,12.18,Call,14,2023-08-18,29,0.78,0.79,0.79,0.78,17311,12778,"-6,510",102.55%,2023-07-19
RKLB,7.93,Call,7,2023-07-21,1,0.9,0.93,0.95,0.91,2642,13527,"-6,320",160.72%,2023-07-19
BAC,31.53,Call,33,2024-01-19,183,1.58,1.61,1.63,1.59,1865,60542,"-6,136",23.20%,2023-07-19
BAC,31.53,Call,29,2023-07-21,1,2.52,2.55,2.57,2.54,2033,39248,"-5,750",77.15%,2023-07-19
BAC,31.53,Call,30.5,2023-07-21,1,1.03,1.06,1.08,1.07,8218,22851,"-5,329",49.67%,2023-07-19
NVS,103.22,Call,100,2023-07-21,1,3.2,3.3,3.4,3.5,6399,12796,"-5,232",41.78%,2023-07-19
ET,13.18,Call,13,2023-07-21,1,0.19,0.2,0.21,0.2,4590,84038,"-5,116",29.56%,2023-07-19
LUMN,1.89,Put,1.5,2024-01-19,183,0.26,0.28,0.29,0.26,736,27756,"-4,971",95.23%,2023-07-19
PINS,29.84,Call,30,2023-07-21,1,0.28,0.3,0.31,0.3,1406,4302,"-4,545",59.67%,2023-07-19
MS,93.16,Call,90,2023-07-21,1,3.15,3.25,3.35,3.26,1346,7588,"-4,252",48.98%,2023-07-19
MSFT,355.08,Call,350,2023-07-21,1,6.35,6.78,7.2,6.65,5387,12871,"-4,105",47.70%,2023-07-19
RIG,8.25,Call,10,2024-01-19,183,0.78,0.79,0.79,0.79,878,82891,"-4,002",55.90%,2023-07-19
NVDA,470.77,Call,470,2023-07-28,8,14.75,14.93,15.1,15.03,5891,3519,"-3,940",51.79%,2023-07-19
AMC,4.37,Put,5.5,2023-07-21,1,1.25,1.32,1.38,1.28,4559,9792,"-3,730",524.61%,2023-07-19
RIVN,24.83,Call,25,2023-07-21,1,0.61,0.62,0.62,0.62,14526,16248,"-3,688",134.61%,2023-07-19
MSFT,355.08,Call,345,2023-07-21,1,10.5,10.9,11.3,10.66,1440,20619,"-3,559",47.85%,2023-07-19
NVDA,470.77,Call,450,2023-07-21,1,21.45,21.88,22.3,22,2644,25108,"-3,514",76.05%,2023-07-19
GOOGL,122.03,Call,125,2023-07-21,1,0.34,0.35,0.35,0.35,36530,30569,"-3,226",51.93%,2023-07-19
MSFT,355.08,Call,355,2023-07-21,1,3.4,3.53,3.65,3.65,19337,11174,"-3,037",48.41%,2023-07-19
HAL,37.01,Call,37.5,2023-07-21,1,0.23,0.25,0.26,0.21,1510,3765,"-3,016",57.43%,2023-07-19
AAPL,195.1,Put,190,2023-07-21,1,0.1,0.11,0.11,0.11,56201,31547,"-3,009",34.63%,2023-07-19
SNAP,13.11,Call,15,2023-08-18,29,0.89,0.9,0.9,0.9,2562,17563,"-2,796",105.51%,2023-07-19
AMC,4.37,Put,6,2023-07-21,1,1.78,1.83,1.88,1.78,528,15458,"-2,668",630.77%,2023-07-19
BAC,31.53,Call,30,2023-08-18,29,1.89,1.92,1.94,1.9,2795,53741,"-2,630",25.94%,2023-07-19
TSLA,291.26,Call,300,2024-01-19,183,41.3,41.5,41.7,41.48,5973,28719,"-2,608",50.98%,2023-07-19
PLTR,18.05,Call,25,2025-01-17,547,3.9,3.95,4,3.95,3257,7671,"-2,584",62.96%,2023-07-19
AAPL,195.1,Call,192.5,2023-07-21,1,3.05,3.08,3.1,3.1,58528,23011,"-2,569",35.05%,2023-07-19
AMZN,135.36,Call,120,2023-07-21,1,15.35,15.55,15.75,15.5,820,24194,"-2,556",128.24%,2023-07-19
PYPL,74.22,Call,75,2023-07-21,1,0.42,0.44,0.45,0.44,11031,12684,"-2,548",49.04%,2023-07-19
PAAS,16.84,Call,17,2023-08-18,29,0.7,0.73,0.75,0.75,1034,6558,"-2,537",42.70%,2023-07-19
BAC,31.53,Call,30,2023-07-28,8,1.61,1.63,1.65,1.65,2641,7375,"-2,523",31.90%,2023-07-19
F,14.1,Put,14.5,2023-07-21,1,0.42,0.44,0.45,0.44,2535,11180,"-2,504",56.56%,2023-07-19
CCJ,32.92,Call,35,2023-07-28,8,0.14,0.15,0.16,0.14,580,21658,"-2,453",38.11%,2023-07-19
AAPL,195.1,Call,190,2023-07-28,8,6.1,6.15,6.2,6.15,7497,14617,"-2,422",23.99%,2023-07-19
SCHW,66.04,Call,60,2023-09-15,57,7.1,7.18,7.25,7.4,2046,6885,"-2,409",29.94%,2023-07-19
NVDA,470.77,Call,480,2023-07-28,8,10.5,10.6,10.7,10.7,5838,4682,"-2,402",52.19%,2023-07-19
INTC,34.46,Call,35,2023-07-21,1,0.21,0.22,0.22,0.21,13098,30655,"-2,399",58.79%,2023-07-19
ATVI,92.2,Call,92.5,2023-07-21,1,0.2,0.23,0.25,0.25,14246,35418,"-2,397",19.51%,2023-07-19
VZ,33.97,Call,32,2023-07-21,1,1.97,2.02,2.07,1.94,1511,7012,"-2,340",81.56%,2023-07-19
VZ,33.97,Call,33,2023-07-21,1,1.03,1.07,1.1,1.02,6148,9068,"-2,327",58.95%,2023-07-19
SCHW,66.04,Call,60,2023-07-21,1,6,6.13,6.25,6.23,560,12912,"-2,291",136.15%,2023-07-19
AAPL,195.1,Call,175,2023-07-21,1,20.1,20.2,20.3,20.2,5631,66820,"-2,276",102.55%,2023-07-19
INTC,34.46,Call,34,2023-07-21,1,0.67,0.7,0.72,0.73,6682,43945,"-2,254",59.49%,2023-07-19
RIOT,18.93,Put,18,2023-07-21,1,0.29,0.3,0.3,0.3,3987,4295,"-2,245",172.51%,2023-07-19
AMD,116.43,Put,120,2023-07-21,1,4.05,4.15,4.25,4.1,4163,17416,"-2,234",72.38%,2023-07-19
PLTR,18.05,Call,17,2023-07-21,1,1.09,1.12,1.15,1.13,8939,23443,"-2,220",110.16%,2023-07-19
GOOGL,122.03,Put,125,2023-07-21,1,3.1,3.33,3.55,3.15,3628,11860,"-2,146",42.21%,2023-07-19
F,14.1,Put,14,2023-07-21,1,0.11,0.11,0.12,0.11,11014,30961,"-2,065",52.65%,2023-07-19
PLTR,18.05,Call,16,2023-07-21,1,2.06,2.09,2.11,2.06,3564,20058,"-2,018",113.25%,2023-07-19
CVNA,55.8,Call,40,2023-07-21,1,15.75,16.03,16.3,15.95,8208,11736,"-2,013",363.30%,2023-07-19
SNAP,13.11,Call,20,2024-01-19,183,0.85,0.86,0.87,0.89,872,29506,"-1,952",67.44%,2023-07-19
MS,93.16,Call,95,2023-09-15,57,1.91,1.98,2.05,1.97,1801,25581,"-1,946",18.19%,2023-07-19
BX,108.17,Call,110,2023-07-21,1,1.13,1.2,1.27,1.16,2521,2724,"-1,927",85.08%,2023-07-19
AAPL,195.1,Call,190,2023-07-21,1,5.25,5.3,5.35,5.35,24862,28453,"-1,926",41.68%,2023-07-19
MSFT,355.08,Call,340,2023-07-21,1,14.85,15.43,16,15.71,2153,12189,"-1,866",65.85%,2023-07-19
CSCO,52.43,Call,52.5,2023-07-21,1,0.27,0.3,0.32,0.3,6578,40529,"-1,844",30.35%,2023-07-19
SIRI,5.49,Call,5,2023-07-21,1,0.49,0.52,0.54,0.47,3279,53408,"-1,840",152.11%,2023-07-19
PLTR,18.05,Call,16.5,2023-07-21,1,1.55,1.59,1.62,1.61,4556,18491,"-1,831",134.30%,2023-07-19
BMRN,87.08,Put,90,2023-07-21,1,2.6,2.85,3.1,3.4,1830,2430,"-1,827",57.91%,2023-07-19
BAC,31.53,Call,30,2023-09-15,57,2.11,2.15,2.18,2.14,2550,43205,"-1,818",23.70%,2023-07-19
NIO,10.64,Call,10,2023-08-18,29,1.17,1.19,1.2,1.19,5726,54531,"-1,804",69.48%,2023-07-19
LCID,7.25,Call,10,2023-08-18,29,0.16,0.17,0.17,0.17,1802,25974,"-1,790",102.91%,2023-07-19
PLTR,18.05,Put,17,2023-08-18,29,1.16,1.17,1.17,1.17,4132,10154,"-1,781",85.04%,2023-07-19
SOFI,9.85,Call,9.5,2023-07-21,1,0.4,0.41,0.42,0.4,11245,15856,"-1,778",83.91%,2023-07-19
TSLA,291.26,Call,260,2023-07-21,1,31.9,32.68,33.45,32.52,3511,22407,"-1,767",172.15%,2023-07-19
XPEV,14.98,Call,15,2023-07-21,1,0.4,0.41,0.42,0.42,3658,15079,"-1,747",137.07%,2023-07-19
SPWR,11.31,Call,10,2023-09-15,57,2.04,2.08,2.12,2.1,1201,4073,"-1,728",77.20%,2023-07-19
T,14.59,Put,15,2023-07-21,1,0.43,0.45,0.47,0.47,1382,28900,"-1,724",65.17%,2023-07-19
KHC,36.14,Call,36,2023-07-21,1,0.25,0.27,0.29,0.24,6115,7926,"-1,670",25.43%,2023-07-19
NIO,10.64,Call,10,2023-07-21,1,0.68,0.7,0.72,0.7,3505,23607,"-1,642",122.70%,2023-07-19
DLO,14.45,Call,15,2023-08-18,29,0.75,0.8,0.85,0.8,2723,17333,"-1,608",62.11%,2023-07-19
AAPL,195.1,Put,192.5,2023-07-21,1,0.36,0.37,0.37,0.36,58922,24555,"-1,602",31.14%,2023-07-19
BAC,31.53,Call,25,2023-07-21,1,6.5,6.55,6.6,6.53,913,2745,"-1,602",260.18%,2023-07-19
DAL,48.55,Call,48,2023-07-21,1,0.83,0.87,0.9,0.87,5782,16254,"-1,542",54.31%,2023-07-19
CRK,12.11,Call,11,2023-09-15,57,1.55,1.6,1.65,1.6,518,14390,"-1,531",50.92%,2023-07-19
OXY,60.16,Call,60,2023-07-21,1,0.53,0.57,0.6,0.58,1469,14810,"-1,494",39.24%,2023-07-19
FCX,40.67,Call,40,2023-07-21,1,1.17,1.2,1.23,1.22,4310,14085,"-1,487",99.83%,2023-07-19
ATVI,92.2,Put,75,2024-01-19,183,0.82,0.83,0.84,0.83,17206,88587,"-1,421",26.75%,2023-07-19
JPM,154.25,Call,150,2023-08-18,29,6.2,6.3,6.4,6.28,3146,11615,"-1,393",20.75%,2023-07-19
DIS,87.04,Call,90,2023-07-21,1,0.2,0.21,0.21,0.21,15636,22336,"-1,389",60.37%,2023-07-19
UNH,503.7,Call,500,2023-07-21,1,5.35,5.68,6,5.85,1180,2979,"-1,387",35.07%,2023-07-19
BAC,31.53,Call,29,2023-09-15,57,2.9,2.97,3.05,2.96,811,9134,"-1,385",25.85%,2023-07-19
META,316.01,Call,360,2023-08-18,29,5.5,5.58,5.65,5.6,2040,2097,"-1,338",53.07%,2023-07-19
ATVI,92.2,Call,85,2023-07-21,1,6.3,6.95,7.6,7.25,6738,50452,"-1,321",80.60%,2023-07-19
AMZN,135.36,Call,135,2023-07-21,1,1.62,1.67,1.72,1.68,78791,41312,"-1,319",52.54%,2023-07-19
NFLX,477.59,Call,450,2023-07-21,1,35.4,36.2,37,35.4,1538,3874,"-1,290",189.67%,2023-07-19
MSFT,355.08,Call,365,2023-08-18,29,9,9.18,9.35,9.3,1367,5963,"-1,289",32.57%,2023-07-19
RBLX,44.86,Call,45,2023-07-21,1,0.72,0.76,0.8,0.74,4509,14392,"-1,285",85.83%,2023-07-19
UBER,47.12,Call,45,2023-07-21,1,2.16,2.21,2.26,2.2,786,23336,"-1,268",67.68%,2023-07-19
NVDA,470.77,Call,470,2023-07-21,1,7.35,7.43,7.5,7.35,34475,13050,"-1,245",70.51%,2023-07-19
CHWY,38.04,Call,38,2023-07-21,1,0.53,0.58,0.62,0.55,1026,3129,"-1,238",66.40%,2023-07-19
CVS,74.38,Call,70,2023-07-21,1,4.3,4.38,4.45,4.25,51756,4922,"-1,235",73.25%,2023-07-19
C,47.52,Put,47,2023-07-21,1,0.15,0.16,0.17,0.17,10632,7008,"-1,233",37.92%,2023-07-19
ACHR,4.69,Call,5,2023-07-21,1,0.05,0.08,0.1,0.1,987,8366,"-1,228",218.74%,2023-07-19
FTCH,5.79,Call,6,2023-07-28,8,0.18,0.19,0.2,0.18,1736,1421,"-1,220",77.51%,2023-07-19
BAC,31.53,Call,30,2023-10-20,92,2.51,2.55,2.58,2.51,557,8100,"-1,217",24.71%,2023-07-19
BAC,31.53,Call,28,2024-01-19,183,4.65,4.7,4.75,4.65,617,34775,"-1,204",27.21%,2023-07-19
APA,38.03,Call,37.5,2023-07-21,1,0.63,0.66,0.68,0.65,669,8115,"-1,183",39.87%,2023-07-19
TSM,103.06,Call,105,2023-08-18,29,3.45,3.5,3.55,3.55,2035,6797,"-1,165",36.90%,2023-07-19
PLTR,18.05,Call,15,2023-08-18,29,3.55,3.6,3.65,3.6,1890,22142,"-1,157",85.54%,2023-07-19
CCL,18.15,Call,18,2023-07-21,1,0.35,0.38,0.4,0.37,5659,13548,"-1,157",76.14%,2023-07-19
TSLA,291.26,Call,255,2023-07-21,1,36.5,37.18,37.85,37.3,751,16819,"-1,152",184.17%,2023-07-19
BAC,31.53,Put,23,2025-01-17,547,0.92,0.96,0.99,0.92,5036,8518,"-1,142",30.78%,2023-07-19
C,47.52,Call,48,2023-07-21,1,0.17,0.19,0.2,0.19,4011,24612,"-1,137",38.39%,2023-07-19
EOSE,3.28,Call,2.5,2023-08-18,29,0.95,1,1.05,1,1921,38397,"-1,133",159.61%,2023-07-19
ORCL,118.69,Put,116,2023-07-21,1,0.21,0.22,0.24,0.19,587,7330,"-1,110",43.98%,2023-07-19
BAC,31.53,Call,28.5,2023-07-21,1,3,3.05,3.1,3.02,689,8205,"-1,091",133.21%,2023-07-19
TRUP,27.5,Put,15,2023-08-18,29,0.25,0.3,0.35,0.3,999,11791,"-1,083",152.34%,2023-07-19
CVNA,55.8,Call,30,2023-08-18,29,26,26.38,26.75,26.5,3621,6451,"-1,078",153.15%,2023-07-19
AMZN,135.36,Put,134,2023-07-21,1,0.8,0.82,0.83,0.8,23236,7993,"-1,076",49.10%,2023-07-19
AI,40.74,Call,39,2023-07-21,1,2.13,2.19,2.25,2.25,504,2933,"-1,074",141.46%,2023-07-19
PACW,9.95,Call,8,2023-07-21,1,1.9,1.95,2,2,902,7766,"-1,071",297.76%,2023-07-19
CMCSA,42.71,Call,42.5,2023-07-21,1,0.4,0.43,0.46,0.41,2314,17959,"-1,059",32.75%,2023-07-19
NVDA,470.77,Call,460,2023-07-21,1,13.35,13.63,13.9,13.75,7573,11091,"-1,058",72.54%,2023-07-19
AMD,116.43,Call,115,2023-07-21,1,2.53,2.57,2.61,2.6,7838,22477,"-1,058",73.87%,2023-07-19
MRVL,65.63,Call,66,2023-07-21,1,0.7,0.72,0.74,0.7,4258,4033,"-1,045",63.23%,2023-07-19
AMZN,135.36,Put,130,2023-07-21,1,0.13,0.14,0.14,0.12,5503,12355,"-1,027",54.74%,2023-07-19
RIOT,18.93,Call,25,2023-07-28,8,0.26,0.27,0.28,0.27,876,2085,"-1,015",154.24%,2023-07-19
PLTR,18.05,Call,16,2023-08-18,29,2.86,2.89,2.92,2.9,1539,20717,"-1,006",85.43%,2023-07-19
CZR,57.68,Call,50,2023-09-15,57,9.15,9.28,9.4,9.1,785,7076,-999,47.28%,2023-07-19
TSLA,291.26,Call,300,2025-01-17,547,75,76.4,77.8,76.35,3502,31854,-996,50.50%,2023-07-19
GM,39.23,Call,40,2023-09-15,57,1.66,1.67,1.69,1.66,832,10953,-993,30.52%,2023-07-19
AAPL,195.1,Call,192.5,2023-08-04,15,6.3,6.35,6.4,6.31,4167,2548,-982,29.90%,2023-07-19
SONY,94.57,Call,95,2023-07-21,1,0.35,0.4,0.45,0.35,1378,1892,-967,26.94%,2023-07-19
CCJ,32.92,Call,35,2023-08-04,15,0.46,0.47,0.48,0.45,895,1879,-954,44.53%,2023-07-19
HOOD,13.12,Call,12.5,2023-07-21,1,0.66,0.68,0.69,0.67,5126,6837,-944,90.55%,2023-07-19
PLTR,18.05,Call,15,2024-01-19,183,5.05,5.13,5.2,5.15,686,52857,-944,68.60%,2023-07-19
NKLA,2.59,Call,1,2025-01-17,547,1.57,1.59,1.6,1.57,1145,32876,-943,0.00%,2023-07-19
AMZN,135.36,Put,135,2023-07-28,8,3,3.08,3.15,3.02,2813,3694,-935,40.86%,2023-07-19
OPRA,21.44,Call,22.5,2023-07-21,1,0.25,0.28,0.3,0.3,972,2531,-934,154.27%,2023-07-19
RIVN,24.83,Call,35,2023-08-18,29,0.51,0.52,0.52,0.52,713,5321,-927,103.71%,2023-07-19
AAPL,195.1,Call,180,2023-07-21,1,15,15.18,15.35,15.3,1961,43383,-925,92.24%,2023-07-19
NKE,109.88,Call,110,2023-07-21,1,0.74,0.77,0.79,0.76,1323,9950,-914,35.42%,2023-07-19
EOSE,3.28,Call,5,2023-08-18,29,0.2,0.23,0.25,0.16,4867,36945,-902,177.65%,2023-07-19
U,48.5,Call,50,2023-08-18,29,3.8,3.85,3.9,3.8,2397,17990,-901,80.05%,2023-07-19
INTC,34.46,Put,30,2023-07-28,8,0.12,0.13,0.13,0.12,580,6888,-893,67.46%,2023-07-19
LI,37.42,Call,39,2023-07-28,8,0.71,0.73,0.74,0.72,1013,2733,-893,59.95%,2023-07-19
NIO,10.64,Put,10,2023-08-18,29,0.48,0.49,0.5,0.48,782,13341,-883,66.77%,2023-07-19
VZ,33.97,Call,40,2024-01-19,183,0.41,0.42,0.42,0.4,2525,22015,-879,22.64%,2023-07-19
