Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
IWM,174.23,Put,165,2023-06-16,39,2.13,2.15,2.17,2.14,2821,196496,"+32,217",27.14%,"09:36 ET"
SPY,412.29,Call,400,2023-05-12,4,13.38,13.45,13.51,13.52,10028,42316,"+26,641",23.66%,"09:35 ET"
SLV,23.57,Call,24,2023-07-21,74,1.11,1.12,1.13,1.14,2231,50575,"+23,702",28.93%,"09:35 ET"
SPY,412.29,Call,416,2023-05-09,1,0.36,0.37,0.37,0.37,1018,20259,"+17,554",16.41%,"09:36 ET"
SPY,412.29,Put,400,2023-05-12,4,0.37,0.38,0.38,0.38,1045,36572,"+17,367",22.39%,"09:36 ET"
SPY,412.29,Put,410,2023-05-09,1,0.63,0.64,0.64,0.63,12089,16000,"+13,558",19.66%,"09:36 ET"
SPY,412.29,Call,390,2023-05-12,4,23.08,23.17,23.26,23.04,5000,19001,"+13,349",30.88%,"09:32 ET"
SPY,412.29,Put,410,2023-05-08,0,0.24,0.25,0.25,0.25,14767,16526,"+13,286",13.61%,"09:36 ET"
SPY,412.29,Call,410,2023-05-12,4,4.88,4.93,4.97,4.93,5289,36026,"+12,722",18.76%,"09:36 ET"
SPXU,13.31,Call,14,2023-05-12,4,0.1,0.11,0.11,0.11,515,13606,"+11,632",64.29%,"09:36 ET"
QQQ,321.92,Put,323,2023-05-08,0,1.4,1.41,1.42,1.4,3643,12773,"+11,606",14.48%,"09:36 ET"
SPY,412.29,Put,406,2023-05-09,1,0.17,0.18,0.18,0.18,10323,13643,"+11,561",22.88%,"09:36 ET"
SPY,412.29,Call,416,2023-05-08,0,0.09,0.1,0.1,0.1,6636,13886,"+11,019",10.93%,"09:36 ET"
SPY,412.29,Call,413,2023-05-08,0,0.84,0.85,0.85,0.84,14327,13664,"+10,225",10.59%,"09:36 ET"
SPY,412.29,Call,420,2023-05-12,4,0.42,0.43,0.43,0.42,770,23748,"+9,979",14.44%,"09:36 ET"
SPY,412.29,Put,409,2023-05-08,0,0.14,0.15,0.15,0.15,5117,11434,"+9,919",14.30%,"09:36 ET"
SPY,412.29,Put,410,2023-05-12,4,1.87,1.88,1.88,1.88,786,23014,"+9,809",18.30%,"09:36 ET"
QQQ,321.92,Put,318,2023-05-09,1,0.29,0.3,0.3,0.3,1509,9421,"+8,471",23.94%,"09:36 ET"
IWM,174.23,Put,150,2023-07-21,74,1.38,1.4,1.42,1.39,2503,26327,"+8,392",31.06%,"09:33 ET"
SPY,412.29,Call,412,2023-05-08,0,1.41,1.42,1.42,1.41,4399,12779,"+8,209",10.69%,"09:36 ET"
TQQQ,27.98,Call,28,2023-05-12,4,0.73,0.74,0.75,0.75,1019,12410,"+7,484",61.64%,"09:36 ET"
SPY,412.29,Put,413,2023-05-08,0,1.1,1.11,1.11,1.1,8789,10749,"+7,267",12.01%,"09:36 ET"
QQQ,321.92,Put,320,2023-05-08,0,0.25,0.26,0.26,0.25,3223,9017,"+6,980",14.90%,"09:36 ET"
SPY,412.29,Put,411,2023-05-08,0,0.4,0.41,0.41,0.41,12598,10677,"+6,329",12.87%,"09:36 ET"
SPY,412.29,Call,415,2023-05-08,0,0.21,0.22,0.22,0.22,8894,11649,"+6,226",10.71%,"09:36 ET"
