Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
AAPL,177.25,Call,182.5,2023-06-02,1,0.17,0.18,0.19,0.17,36994,40139,"+30,994",41.89%,2023-05-31
CHPT,9.67,Call,9.5,2023-06-09,8,0.78,0.79,0.8,0.79,29192,30778,"+29,892",123.19%,2023-05-31
AMZN,120.58,Put,110,2024-06-21,386,9.8,9.95,10.1,9.9,73328,78070,"+24,980",35.94%,2023-05-31
AAPL,177.25,Call,195,2023-06-09,8,0.13,0.15,0.16,0.14,2659,22957,"+21,100",35.47%,2023-05-31
META,264.72,Put,210,2024-06-21,386,15.65,15.88,16.1,16.1,32707,31333,"+18,963",43.04%,2023-05-31
AAPL,177.25,Call,190,2023-06-09,8,0.3,0.32,0.33,0.32,12433,26624,"+16,704",32.81%,2023-05-31
AMD,118.21,Call,170,2023-06-16,15,0.09,0.26,0.42,0.1,578,18636,"+15,359",79.61%,2023-05-31
SOFI,6.94,Call,6.5,2023-06-02,1,0.47,0.48,0.48,0.47,55957,16512,"+14,335",116.07%,2023-05-31
BMBL,15.3,Put,12.5,2023-07-21,50,0.3,0.35,0.4,0.31,14361,14443,"+14,017",62.12%,2023-05-31
TSLA,203.93,Call,230,2023-06-02,1,0.11,0.12,0.13,0.12,35481,26894,"+13,933",116.29%,2023-05-31
NVDA,378.34,Call,450,2023-06-16,15,1.8,1.85,1.89,1.89,4413,37698,"+13,504",60.72%,2023-05-31
AAPL,177.25,Put,175,2023-07-21,50,4.1,4.23,4.35,4.31,5497,32531,"+13,479",22.54%,2023-05-31
AMD,118.21,Call,165,2023-06-16,15,0.13,0.14,0.14,0.14,2538,18233,"+13,256",77.66%,2023-05-31
SPWR,10.6,Call,11,2023-06-02,1,0.1,0.11,0.12,0.11,11614,13330,"+13,016",116.45%,2023-05-31
AI,40.01,Call,50,2023-06-02,1,1.7,1.75,1.8,1.79,36244,12703,"+12,703",575.83%,2023-05-31
AZN,73.08,Call,72.5,2023-06-16,15,1.99,2.02,2.04,2,771,21447,"+12,700",27.93%,2023-05-31
AAPL,177.25,Call,175,2023-06-09,8,4.5,4.93,5.35,4.6,3264,32768,"+12,388",31.21%,2023-05-31
AAPL,177.25,Call,175,2023-07-21,50,7.9,8.03,8.15,8.01,4162,53181,"+12,090",23.44%,2023-05-31
AI,40.01,Call,35,2023-06-02,1,6.7,7.05,7.4,7.1,18145,17080,"+10,817",528.03%,2023-05-31
AAPL,177.25,Call,187.5,2023-06-16,15,0.73,0.77,0.81,0.76,13384,15960,"+10,690",26.08%,2023-05-31
ET,12.4,Call,13,2023-07-21,50,0.18,0.2,0.21,0.2,1865,84309,"+10,096",24.03%,2023-05-31
TSLA,203.93,Call,205,2023-06-02,1,3.3,3.38,3.45,3.4,110507,21197,"+10,050",91.33%,2023-05-31
GFI,15.12,Call,12,2024-01-19,233,4.1,4.3,4.5,4.3,2616,13218,"+9,965",54.31%,2023-05-31
TSLA,203.93,Call,210,2023-06-02,1,1.74,1.77,1.79,1.74,88762,27409,"+9,864",94.12%,2023-05-31
SOFI,6.94,Call,6,2023-06-02,1,0.88,0.92,0.95,0.95,28296,24622,"+9,685",160.65%,2023-05-31
CAT,205.75,Put,185,2023-07-21,50,2.22,2.32,2.42,2.24,1016,10572,"+9,646",32.47%,2023-05-31
NVDA,378.34,Call,460,2023-06-16,15,1.37,1.82,2.27,1.45,1076,11598,"+9,613",62.44%,2023-05-31
AAPL,177.25,Call,182.5,2023-06-09,8,1.2,1.32,1.43,1.3,22581,17275,"+9,314",30.32%,2023-05-31
NVDA,378.34,Put,400,2023-06-02,1,21.8,22.4,23,22.6,13626,10762,"+9,307",87.75%,2023-05-31
TSLA,203.93,Call,310,2023-10-20,141,5.45,5.58,5.7,5.55,4675,8721,"+8,488",56.50%,2023-05-31
TSLA,203.93,Call,220,2023-06-02,1,0.43,0.44,0.45,0.44,43756,23299,"+8,460",104.51%,2023-05-31
PYPL,61.99,Call,65,2023-07-21,50,2.16,2.19,2.21,2.21,3668,19308,"+8,447",35.39%,2023-05-31
TSLA,203.93,Call,220,2023-06-09,8,2.38,2.44,2.5,2.45,19026,10907,"+8,090",63.92%,2023-05-31
F,12,Put,13,2023-07-21,50,1.16,1.19,1.21,1.2,879,16525,"+8,022",27.88%,2023-05-31
TSLA,203.93,Put,185,2023-06-02,1,0.11,0.11,0.12,0.12,30077,25682,"+7,940",99.51%,2023-05-31
UAL,47.47,Call,48,2023-06-02,1,0.42,0.44,0.45,0.44,7263,8345,"+7,828",67.37%,2023-05-31
TSLA,203.93,Put,195,2023-06-02,1,0.87,0.91,0.95,0.87,88314,13505,"+7,824",90.58%,2023-05-31
AAPL,177.25,Call,180,2023-06-09,8,2.04,2.09,2.15,2.05,41201,35900,"+7,587",30.08%,2023-05-31
ETRN,8.53,Call,9,2023-06-16,15,0.3,0.32,0.35,0.34,3187,7506,"+7,506",77.58%,2023-05-31
TSLA,203.93,Call,220,2023-06-16,15,4,4.08,4.15,4.07,33896,24450,"+7,485",58.43%,2023-05-31
INTC,31.44,Call,30,2023-06-02,1,1.48,1.53,1.58,1.58,21598,16310,"+7,399",94.48%,2023-05-31
PDD,65.32,Put,70,2023-08-18,78,8.25,8.43,8.6,8.95,552,7368,"+7,368",50.45%,2023-05-31
AMD,118.21,Call,160,2023-07-21,50,0.82,0.84,0.86,0.82,7968,7921,"+7,255",53.56%,2023-05-31
TSLA,203.93,Call,215,2023-06-02,1,0.87,0.89,0.9,0.89,37121,14375,"+7,144",99.60%,2023-05-31
RYAM,3.4,Put,2.5,2023-08-18,78,0.55,0.63,0.7,0.65,14153,82205,"+7,007",202.58%,2023-05-31
PLTR,14.71,Call,16,2023-06-02,1,0.21,0.22,0.22,0.22,9346,11222,"+6,999",211.72%,2023-05-31
AI,40.01,Call,45,2023-06-02,1,2.8,2.85,2.9,2.89,17350,6953,"+6,953",565.08%,2023-05-31
ENPH,173.88,Call,195,2023-06-09,8,0.8,0.83,0.85,0.84,9748,6905,"+6,815",61.24%,2023-05-31
PLTR,14.71,Call,15,2023-06-02,1,0.46,0.47,0.48,0.48,40077,17274,"+6,710",197.81%,2023-05-31
TSLA,203.93,Put,160,2024-06-21,386,19.5,19.75,20,19.95,19478,22509,"+6,561",56.64%,2023-05-31
PLTR,14.71,Put,14,2023-06-02,1,0.26,0.27,0.28,0.26,33893,8296,"+6,554",181.38%,2023-05-31
INTC,31.44,Call,30.5,2023-06-16,15,1.69,1.75,1.81,1.8,8305,7480,"+6,518",50.77%,2023-05-31
MSFT,328.39,Call,350,2023-06-16,15,0.97,1.13,1.28,1.08,3031,14334,"+6,508",26.20%,2023-05-31
F,12,Put,12,2023-06-16,15,0.34,0.35,0.36,0.36,2246,32856,"+6,389",36.00%,2023-05-31
AI,40.01,Put,40,2023-07-21,50,9,9.7,10.4,9.2,1231,6541,"+6,284",161.12%,2023-05-31
SOFI,6.94,Call,6,2023-07-21,50,1.23,1.26,1.28,1.26,6498,44606,"+6,261",68.50%,2023-05-31
AAPL,177.25,Put,160,2023-07-21,50,1.09,1.15,1.2,1.16,4275,38174,"+6,173",26.97%,2023-05-31
TSLA,203.93,Call,400,2023-12-15,198,3.3,3.43,3.55,3.5,7011,7547,"+6,150",58.37%,2023-05-31
NVDA,378.34,Call,500,2023-07-21,50,3.15,3.2,3.25,3.19,29398,7939,"+6,043",52.76%,2023-05-31
AMZN,120.58,Call,123,2023-06-02,1,0.52,0.54,0.57,0.55,22465,10265,"+5,970",56.81%,2023-05-31
NVDA,378.34,Call,410,2023-06-02,1,0.66,0.68,0.69,0.66,44582,11780,"+5,940",103.75%,2023-05-31
GOOGL,122.87,Call,125,2023-06-02,1,0.55,0.57,0.59,0.55,11070,9581,"+5,863",52.24%,2023-05-31
TSLA,203.93,Put,190,2023-06-02,1,0.31,0.33,0.35,0.33,55573,16862,"+5,688",94.37%,2023-05-31
AAPL,177.25,Call,175,2023-06-02,1,2.81,2.93,3.05,2.9,8152,25692,"+5,480",40.74%,2023-05-31
NVDA,378.34,Put,387.5,2023-06-16,15,19.45,20.48,21.5,19.95,3056,6094,"+5,463",49.60%,2023-05-31
PLTR,14.71,Put,14.5,2023-06-02,1,0.47,0.49,0.5,0.47,7234,6136,"+5,462",186.88%,2023-05-31
NVDA,378.34,Put,385,2023-06-16,15,17.75,18.58,19.4,18.55,4281,6420,"+5,459",49.88%,2023-05-31
PLTR,14.71,Call,15.5,2023-06-02,1,0.31,0.32,0.33,0.32,11919,7788,"+5,379",202.45%,2023-05-31
CVNA,12.92,Call,15,2023-06-02,1,0.15,0.16,0.17,0.16,7636,6838,"+5,354",277.62%,2023-05-31
MARA,9.79,Call,10,2023-06-02,1,0.21,0.22,0.22,0.22,15026,14405,"+5,315",151.70%,2023-05-31
AAPL,177.25,Put,177.5,2023-06-02,1,1.2,1.26,1.31,1.3,67066,7333,"+5,226",31.89%,2023-05-31
TSLA,203.93,Put,200,2023-06-02,1,2.1,2.15,2.19,2.12,51677,9144,"+5,222",89.47%,2023-05-31
LYFT,9.02,Call,9,2023-06-09,8,0.36,0.37,0.38,0.36,599,6409,"+5,218",64.85%,2023-05-31
AI,40.01,Call,40,2023-06-02,1,4.4,4.5,4.6,4.5,22677,12192,"+5,193",539.60%,2023-05-31
GOOGL,122.87,Call,127,2023-06-02,1,0.21,0.22,0.24,0.21,9388,8207,"+5,128",53.78%,2023-05-31
MU,68.2,Put,70,2023-06-16,15,3.25,3.3,3.35,3.38,1256,31588,"+5,064",42.26%,2023-05-31
TSLA,203.93,Call,270,2023-06-09,8,0.16,0.18,0.2,0.16,2236,5855,"+5,061",86.95%,2023-05-31
NVDA,378.34,Put,330,2024-06-21,386,42.45,43.28,44.1,41.75,14681,14936,"+5,007",50.20%,2023-05-31
SABR,3.1,Put,3,2024-01-19,233,0.58,0.62,0.65,0.64,3157,40245,"+5,000",77.25%,2023-05-31
WFC,39.81,Put,35,2023-07-21,50,0.53,0.54,0.55,0.53,2821,16625,"+4,949",39.32%,2023-05-31
AMD,118.21,Call,130,2023-06-02,1,0.11,0.11,0.12,0.12,22281,12652,"+4,943",105.58%,2023-05-31
INTC,31.44,Call,31,2023-06-02,1,0.73,0.77,0.82,0.72,39520,11956,"+4,916",80.62%,2023-05-31
GOOGL,122.87,Call,125,2023-07-21,50,4,4.48,4.95,4.45,1376,19299,"+4,893",27.35%,2023-05-31
AI,40.01,Call,50,2023-06-09,8,2.85,2.9,2.95,2.95,8002,4864,"+4,864",258.33%,2023-05-31
