Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
NKLA,2.59,Put,2,2023-08-18,29,0.43,0.45,0.46,0.45,1185,116421,"+39,934",284.20%,2023-07-19
NKLA,2.59,Call,3,2023-07-28,8,0.19,0.2,0.2,0.2,7339,43713,"+35,492",224.58%,2023-07-19
AMZN,135.36,Call,138,2023-07-21,1,0.56,0.59,0.61,0.59,26652,36691,"+25,161",54.78%,2023-07-19
T,14.59,Call,14,2023-07-21,1,0.61,0.63,0.64,0.62,81420,79906,"+24,521",67.82%,2023-07-19
NKLA,2.59,Call,2.5,2023-07-21,1,0.15,0.16,0.17,0.16,19225,52370,"+24,036",205.09%,2023-07-19
SIRI,5.49,Call,6,2023-09-15,57,0.24,0.26,0.28,0.26,956,23926,"+20,638",51.16%,2023-07-19
WMT,154.62,Call,160,2023-07-28,8,0.16,0.17,0.18,0.18,7019,17892,"+17,049",17.26%,2023-07-19
C,47.52,Call,50,2023-09-15,57,0.61,0.62,0.63,0.63,539,46077,"+16,876",20.16%,2023-07-19
META,316.01,Put,310,2023-08-18,29,14.95,15.23,15.5,14.91,1328,15675,"+14,265",52.96%,2023-07-19
META,316.01,Call,310,2023-08-18,29,22.15,22.33,22.5,22.4,1441,21235,"+14,211",52.74%,2023-07-19
SIRI,5.49,Put,4.5,2023-08-18,29,0.3,0.31,0.32,0.3,775,13074,"+12,985",123.69%,2023-07-19
PLTR,18.05,Put,16,2023-12-15,148,1.94,1.96,1.98,1.94,4413,13392,"+12,687",69.98%,2023-07-19
AMC,4.37,Put,4,2023-08-18,29,1.28,1.29,1.3,1.29,11537,384666,"+12,555",325.10%,2023-07-19
DM,1.86,Call,2,2023-08-18,29,0.05,0.08,0.1,0.1,1759,14433,"+12,340",72.69%,2023-07-19
NKLA,2.59,Call,3.5,2023-09-15,57,0.42,0.45,0.48,0.42,667,12655,"+12,181",168.07%,2023-07-19
TSLA,291.26,Call,300,2023-07-21,1,7.1,7.15,7.2,7.11,107601,62395,"+12,172",176.86%,2023-07-19
INTC,34.46,Call,40,2023-11-17,120,1.23,1.27,1.3,1.26,2170,13215,"+11,863",38.56%,2023-07-19
CCJ,32.92,Call,35,2023-08-18,29,0.71,0.72,0.73,0.72,26604,22396,"+11,697",39.23%,2023-07-19
AMC,4.37,Put,4.5,2023-08-18,29,1.67,1.71,1.74,1.72,15019,19727,"+11,652",347.40%,2023-07-19
AMC,4.37,Put,4.5,2023-07-21,1,0.35,0.38,0.4,0.37,11331,44087,"+11,625",325.31%,2023-07-19
T,14.59,Call,16,2023-11-17,120,0.38,0.39,0.39,0.38,9202,22471,"+11,365",27.30%,2023-07-19
ATVI,92.2,Call,95,2023-09-15,57,0.14,0.15,0.15,0.15,17299,14554,"+11,315",5.25%,2023-07-19
BABA,92.09,Call,100,2023-08-18,29,2.25,2.27,2.29,2.28,18139,45900,"+11,153",48.18%,2023-07-19
AMC,4.37,Call,4.5,2023-07-21,1,0.11,0.11,0.12,0.12,13655,49935,"+10,857",191.48%,2023-07-19
AMZN,135.36,Call,135,2023-08-04,15,5.5,5.88,6.25,6.1,11982,17660,"+10,694",52.89%,2023-07-19
NIO,10.64,Put,10.5,2023-07-21,1,0.17,0.18,0.18,0.17,12918,17308,"+10,233",106.00%,2023-07-19
WBD,13.28,Call,12,2023-07-28,8,1.36,1.42,1.47,1.43,1700,23291,"+9,957",75.38%,2023-07-19
WBA,29.93,Call,30,2023-07-21,1,0.16,0.17,0.18,0.17,12291,15934,"+9,705",32.53%,2023-07-19
MSFT,355.08,Call,400,2023-07-28,8,1.2,1.23,1.26,1.25,7965,11225,"+9,502",58.01%,2023-07-19
AAPL,195.1,Call,197.5,2023-07-21,1,0.48,0.49,0.49,0.49,162290,37681,"+9,150",33.19%,2023-07-19
AMC,4.37,Put,4,2023-07-28,8,0.46,0.46,0.47,0.46,17015,59348,"+9,119",256.46%,2023-07-19
UBER,47.12,Put,35,2023-08-18,29,0.1,0.11,0.11,0.1,10884,33621,"+8,995",59.76%,2023-07-19
KDP,31.89,Call,34,2023-10-20,92,0.45,0.48,0.5,0.48,1769,9315,"+8,943",18.07%,2023-07-19
AMZN,135.36,Call,135,2023-07-28,8,3.6,3.65,3.7,3.7,39387,24821,"+8,747",43.10%,2023-07-19
T,14.59,Call,14,2023-07-28,8,0.82,0.84,0.85,0.84,8639,13839,"+8,366",58.67%,2023-07-19
VZ,33.97,Call,35,2023-08-18,29,0.72,0.73,0.73,0.72,5163,13406,"+8,213",30.58%,2023-07-19
BAC,31.53,Put,32,2023-09-01,43,1.13,1.19,1.24,1.08,526,8049,"+8,046",22.52%,2023-07-19
AMC,4.37,Put,5,2023-08-18,29,2.1,2.15,2.2,2.13,5584,72630,"+7,815",358.99%,2023-07-19
ATVI,92.2,Put,85,2024-01-19,183,1.7,1.75,1.8,1.8,8850,264928,"+7,798",20.84%,2023-07-19
