Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
IWM,174.17,Put,170,2023-07-21,56,4.33,4.35,4.36,4.24,3569,87167,"-43,672",24.57%,2023-05-25
SPY,414.65,Put,395,2023-07-21,56,4.9,4.92,4.94,4.9,42866,66258,"-28,142",20.65%,2023-05-25
HYG,73.57,Put,72,2023-06-16,21,0.29,0.33,0.37,0.32,15295,299399,"-18,654",12.79%,2023-05-25
SPY,414.65,Put,400,2023-06-16,21,2.92,2.94,2.96,2.95,28946,178776,"-12,288",21.91%,2023-05-25
XLF,31.85,Put,30,2023-06-16,21,0.15,0.18,0.21,0.19,519,104051,"-10,560",27.34%,2023-05-25
SPY,414.65,Put,409,2023-05-26,0,0.22,0.23,0.23,0.22,29631,20484,"-10,482",21.00%,2023-05-25
KRE,39.8,Put,50,2023-06-16,21,9.8,10.6,11.4,10.2,3000,8492,"-10,068",109.68%,2023-05-25
IWM,174.17,Put,170,2023-06-30,35,3.35,3.37,3.38,3.27,2716,85121,"-9,856",25.53%,2023-05-25
XLF,31.85,Put,31,2023-06-16,21,0.34,0.35,0.36,0.35,5598,70949,"-9,006",23.66%,2023-05-25
ARKK,38.38,Put,40,2023-05-26,0,1.58,1.64,1.7,1.63,4463,7460,"-8,100",44.41%,2023-05-25
SOXS,14.1,Call,18,2023-06-16,21,0.35,0.4,0.45,0.4,1993,4110,"-7,498",109.45%,2023-05-25
SPY,414.65,Put,418,2023-05-25,0,2.96,3.38,3.79,3.4,5973,2931,"-6,679",10.60%,2023-05-25
SPY,414.65,Put,395,2023-06-16,21,2.27,2.28,2.29,2.24,6378,81629,"-6,084",23.38%,2023-05-25
UVXY,3.4,Call,6,2023-06-16,21,0.11,0.12,0.13,0.11,1784,28127,"-5,748",192.86%,2023-05-25
SPY,414.65,Put,420,2023-05-26,0,5.15,5.55,5.94,5.43,1682,3549,"-5,703",16.44%,2023-05-25
HYG,73.57,Put,74,2023-05-26,0,0.41,0.51,0.61,0.45,20056,46784,"-5,668",9.26%,2023-05-25
