Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
SPY,431.45,Call,450,2023-10-20,25,0.79,0.8,0.8,0.8,8871,68174,"-20,411",12.62%,"15:17 ET"
SPY,431.45,Put,445,2023-09-29,4,13.72,13.83,13.94,14.85,26635,30366,"-9,842",17.77%,"15:13 ET"
HYG,73.91,Put,73,2023-10-20,25,0.3,0.33,0.36,0.33,5738,316553,"-8,273",9.74%,"15:16 ET"
QQQ,358.89,Put,350,2023-10-20,25,4.29,4.3,4.31,4.3,7513,73376,"-7,433",22.18%,"15:18 ET"
HYG,73.91,Put,72,2023-11-17,53,0.39,0.41,0.42,0.42,36243,130304,"-6,471",11.13%,"15:09 ET"
SPY,431.45,Put,435,2023-09-25,0,3.77,3.84,3.9,3.85,2688,6751,"-5,280",9.70%,"15:18 ET"
QQQ,358.89,Put,360,2023-10-20,25,7.8,7.81,7.82,7.77,10642,57627,"-4,545",20.15%,"15:17 ET"
QQQ,358.89,Put,375,2023-09-29,4,16.42,16.51,16.59,17.44,1570,900,"-4,453",23.19%,"15:11 ET"
SPY,431.45,Put,434,2023-09-29,4,4.44,4.46,4.47,4.46,4976,33002,"-4,003",16.06%,"15:18 ET"
GLD,177.71,Call,180,2023-10-20,25,1.17,1.17,1.18,1.17,4853,62506,"-3,898",10.01%,"15:06 ET"
SPY,431.45,Call,450,2023-11-17,53,3.04,3.05,3.05,3.02,4204,28475,"-3,844",13.22%,"15:16 ET"
SPY,431.45,Put,425,2023-11-17,53,6.65,6.66,6.66,6.66,4798,65554,"-3,788",15.98%,"15:18 ET"
SPY,431.45,Put,350,2024-01-19,116,1.66,1.67,1.67,1.66,1687,27033,"-3,701",26.22%,"15:18 ET"
QQQ,358.89,Put,355,2023-10-20,25,5.82,5.83,5.84,5.83,4889,40853,"-3,520",21.18%,"15:18 ET"
IWM,177.28,Put,170,2023-09-29,4,0.21,0.22,0.22,0.25,5238,38390,"-3,028",29.75%,"15:03 ET"
SPY,431.45,Put,439,2023-09-25,0,7.77,7.83,7.89,7.8,4276,272,"-3,021",15.33%,"15:18 ET"
SPY,431.45,Put,445,2023-11-17,53,15.7,15.74,15.78,16.64,513,28110,"-2,495",12.76%,"15:10 ET"
IWM,177.28,Call,170,2023-10-20,25,8.51,8.54,8.57,8.82,4863,2164,"-2,489",18.35%,"14:02 ET"
IWM,177.28,Call,185,2023-10-20,25,0.7,0.71,0.71,0.7,532,54271,"-2,252",16.07%,"15:16 ET"
