Symbol,Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
QQQ|20231215|330.00P,QQQ,354.2,Put,330,2023-12-15,73,5.7,5.71,5.72,5.76,2082,194888,"-49,955",25.84%,"15:12 ET"
HYG|20231020|75.00P,HYG,72.19,Put,75,2023-10-20,17,2.73,2.78,2.82,2.76,5033,52596,"-40,841",14.03%,"14:37 ET"
XLE|20231006|89.00P,XLE,88.52,Put,89,2023-10-06,3,1.19,1.21,1.22,1.31,28166,28710,"-22,174",28.57%,"15:06 ET"
IWM|20231117|168.00P,IWM,171.2,Put,168,2023-11-17,45,3.6,3.61,3.62,3.66,2382,74240,"-17,456",22.27%,"15:13 ET"
HYG|20231020|73.00P,HYG,72.19,Put,73,2023-10-20,17,0.99,1.03,1.06,1.08,88636,280888,"-15,830",10.05%,"15:14 ET"
SPY|20231020|430.00P,SPY,421.16,Put,430,2023-10-20,17,11,11.03,11.06,11.03,11565,81929,"-13,832",16.15%,"15:21 ET"
QQQ|20231006|350.00P,QQQ,354.2,Put,350,2023-10-06,3,1.75,1.76,1.77,1.75,20665,30570,"-13,138",27.07%,"15:21 ET"
IWM|20231020|168.00P,IWM,171.2,Put,168,2023-10-20,17,2.03,2.04,2.04,2.05,13592,23785,"-10,558",23.50%,"15:21 ET"
SQQQ|20231006|22.50C,SQQQ,21.13,Call,22.5,2023-10-06,3,0.19,0.2,0.2,0.19,34896,34430,"-10,194",82.92%,"15:20 ET"
HYG|20231215|70.00P,HYG,72.19,Put,70,2023-12-15,73,0.77,0.79,0.81,0.79,11168,115727,"-9,305",14.41%,"15:15 ET"
SPY|20231020|410.00P,SPY,421.16,Put,410,2023-10-20,17,2.82,2.83,2.84,2.83,36256,104519,"-8,533",20.21%,"15:21 ET"
XLU|20231117|57.00P,XLU,56.86,Put,57,2023-11-17,45,1.82,1.85,1.87,1.84,502,1989,"-8,425",23.62%,"15:21 ET"
XLF|20231020|35.00P,XLF,32.31,Put,35,2023-10-20,17,2.69,2.72,2.74,2.69,1860,12067,"-7,407",25.91%,"14:05 ET"
IWM|20231020|182.00C,IWM,171.2,Call,182,2023-10-20,17,0.29,0.3,0.3,0.29,1573,16789,"-7,211",20.22%,"15:18 ET"
HYG|20231020|74.00P,HYG,72.19,Put,74,2023-10-20,17,1.75,1.8,1.85,1.81,3032,137558,"-7,096",9.94%,"14:37 ET"
IWM|20231215|195.00P,IWM,171.2,Put,195,2023-12-15,73,23.88,23.95,24.02,24.05,10827,13500,"-6,815",20.58%,"15:15 ET"
TLT|20231020|100.00P,TLT,85.07,Put,100,2023-10-20,17,14.9,14.95,15,14.96,27939,5855,"-6,535",38.07%,"15:19 ET"
HYG|20231020|70.00P,HYG,72.19,Put,70,2023-10-20,17,0.15,0.16,0.17,0.16,37028,216452,"-6,136",14.25%,"15:14 ET"
QQQ|20231215|350.00P,QQQ,354.2,Put,350,2023-12-15,73,11.1,11.12,11.13,11.09,7065,101010,"-5,897",23.05%,"15:20 ET"
TLT|20240119|105.00P,TLT,85.07,Put,105,2024-01-19,108,19.85,19.93,20,20.05,624,616,"-5,884",28.28%,"15:06 ET"
TLT|20231020|95.00P,TLT,85.07,Put,95,2023-10-20,17,9.9,9.95,10,9.96,19977,8540,"-5,673",27.75%,"15:14 ET"
IWM|20231215|175.00P,IWM,171.2,Put,175,2023-12-15,73,7.68,7.7,7.71,7.71,15925,132432,"-4,966",20.12%,"15:18 ET"
QQQ|20240315|350.00P,QQQ,354.2,Put,350,2024-03-15,164,16.85,16.87,16.89,16.9,10865,48360,"-4,861",23.47%,"15:21 ET"
XLU|20231215|61.00P,XLU,56.86,Put,61,2023-12-15,73,4.45,4.55,4.65,4.9,10068,25805,"-4,368",19.96%,"13:40 ET"
IWM|20231020|165.00P,IWM,171.2,Put,165,2023-10-20,17,1.26,1.27,1.27,1.27,11244,85201,"-4,276",24.65%,"15:16 ET"
IWM|20231215|200.00P,IWM,171.2,Put,200,2023-12-15,73,28.88,28.95,29.02,29,42307,11337,"-4,013",0.00%,"15:11 ET"
QQQ|20240119|350.00P,QQQ,354.2,Put,350,2024-01-19,108,13.47,13.49,13.51,13.51,594,89394,"-3,867",23.04%,"15:20 ET"
SPY|20231020|416.00P,SPY,421.16,Put,416,2023-10-20,17,4.39,4.4,4.41,4.46,5626,26597,"-3,728",19.10%,"15:17 ET"
KRE|20231020|37.00P,KRE,39.93,Put,37,2023-10-20,17,0.37,0.38,0.38,0.38,2113,8149,"-3,461",41.15%,"15:14 ET"
XLU|20231020|62.00P,XLU,56.86,Put,62,2023-10-20,17,5.05,5.1,5.15,5.25,626,5260,"-3,184",22.20%,"15:03 ET"
HYG|20231020|71.00P,HYG,72.19,Put,71,2023-10-20,17,0.27,0.3,0.32,0.3,59455,114352,"-3,019",12.90%,"15:14 ET"
XLF|20250117|36.00P,XLF,32.31,Put,36,2025-01-17,472,4.25,4.3,4.35,4.16,3501,85109,"-3,000",18.81%,"11:33 ET"
SLV|20231229|20.00P,SLV,19.44,Put,20,2023-12-29,87,1.21,1.21,1.22,1.22,984,33989,"-2,978",27.04%,"15:19 ET"
IWM|20231006|165.00P,IWM,171.2,Put,165,2023-10-06,3,0.16,0.17,0.17,0.17,1499,4944,"-2,967",28.87%,"15:18 ET"
TLT|20231215|97.00C,TLT,85.07,Call,97,2023-12-15,73,0.37,0.38,0.39,0.38,2190,11511,"-2,878",21.01%,"14:32 ET"
SPY|20231020|440.00P,SPY,421.16,Put,440,2023-10-20,17,18.98,19.05,19.12,19.25,9609,70745,"-2,851",14.17%,"15:17 ET"
USO|20231117|80.00P,USO,79.85,Put,80,2023-11-17,45,3.3,3.38,3.45,3.4,4557,4039,"-2,818",31.93%,"15:01 ET"
XLF|20231006|33.00P,XLF,32.31,Put,33,2023-10-06,3,0.72,0.74,0.76,0.74,4086,6977,"-2,637",20.56%,"14:34 ET"
