Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
XLI,98.44,Put,96,2023-11-03,11,0.5,0.53,0.55,0.51,610,707,"-36,812",22.84%,"15:12 ET"
IWM,165.32,Put,160,2023-12-15,53,3.15,3.16,3.17,3.18,4326,164495,"-13,282",24.25%,"15:13 ET"
IWM,165.32,Put,160,2023-11-17,25,1.88,1.89,1.9,1.86,3880,43526,"-13,053",25.76%,"15:09 ET"
SPY,420.91,Put,406,2023-12-15,53,5.77,5.78,5.78,5.57,1369,12499,"-12,388",20.64%,"15:06 ET"
SPY,420.91,Put,406,2023-11-17,25,2.97,2.98,2.98,3.02,3120,31758,"-12,256",21.04%,"15:14 ET"
SPY,420.91,Put,411,2023-10-27,4,0.6,0.61,0.61,0.61,5597,10798,"-10,976",22.40%,"15:15 ET"
SPY,420.91,Put,450,2023-11-17,25,27.52,27.74,27.95,27.3,7895,2735,"-10,882",0.00%,"15:11 ET"
QQQ,356.22,Put,330,2023-11-03,11,0.55,0.56,0.57,0.56,4521,25725,"-10,206",31.18%,"15:14 ET"
HYG,72.21,Put,72,2023-11-17,25,0.58,0.61,0.64,0.6,23614,200035,"-9,383",10.29%,"15:14 ET"
SPY,420.91,Put,430,2023-11-17,25,11.02,11.03,11.04,11,5905,59311,"-8,835",15.73%,"15:16 ET"
SPY,420.91,Put,430,2023-10-23,0,7.8,7.88,7.96,7.99,2111,1464,"-8,059",0.00%,"15:12 ET"
SPY,420.91,Put,448,2023-11-17,25,25.47,25.79,26.11,25.42,1303,874,"-8,023",16.37%,"15:11 ET"
EWZ,29.78,Put,25,2023-12-15,53,0.17,0.18,0.18,0.17,1207,36888,"-7,864",36.34%,"15:16 ET"
SPY,420.91,Put,420,2023-12-15,53,9.61,9.61,9.62,9.62,4987,63289,"-7,021",18.29%,"15:15 ET"
GLD,182.83,Call,184,2023-11-03,11,2,2.01,2.02,2.03,1302,1720,"-6,791",17.55%,"15:12 ET"
SPY,420.91,Call,450,2023-11-17,25,0.31,0.32,0.32,0.31,13902,45195,"-6,738",13.98%,"15:14 ET"
GDX,29.2,Call,30,2023-12-15,53,1.27,1.28,1.29,1.27,2655,43814,"-6,615",32.85%,"15:07 ET"
QQQ,356.22,Put,355,2023-11-17,25,7.03,7.05,7.06,7.14,12454,47216,"-5,530",23.06%,"15:14 ET"
SPY,420.91,Put,438,2023-10-27,4,15.74,15.88,16.02,15.61,1577,1069,"-5,214",19.86%,"15:11 ET"
SPY,420.91,Put,425,2023-11-17,25,8.45,8.46,8.47,8.44,14564,112497,"-5,152",16.88%,"15:16 ET"
SLV,21.01,Call,22,2023-11-17,25,0.33,0.34,0.34,0.34,1984,100690,"-4,927",29.93%,"15:17 ET"
QQQ,356.22,Put,345,2023-11-03,11,2.09,2.1,2.11,2.15,3164,15121,"-4,611",27.07%,"15:14 ET"
SPY,420.91,Put,427,2023-10-27,4,6.12,6.15,6.17,6.11,1388,9073,"-4,265",17.89%,"15:16 ET"
IWM,165.32,Put,189,2023-12-15,53,22.81,22.88,22.95,22.63,2569,2221,"-3,838",21.94%,"15:03 ET"
SPY,420.91,Call,445,2023-11-17,25,0.68,0.69,0.69,0.7,4926,29910,"-3,645",14.33%,"15:16 ET"
IWM,165.32,Put,184,2023-11-17,25,17.83,17.89,17.95,17.63,1460,783,"-3,597",22.69%,"15:03 ET"
QQQ,356.22,Put,364,2023-10-27,4,7.75,7.82,7.89,7.56,813,2760,"-3,497",23.37%,"15:08 ET"
SPY,420.91,Put,431,2023-10-23,0,8.79,8.88,8.97,8.39,629,985,"-3,475",0.00%,"15:08 ET"
IWM,165.32,Put,170,2023-11-03,11,4.95,4.98,5.01,4.95,8259,21071,"-3,457",22.70%,"15:16 ET"
SPY,420.91,Put,410,2023-12-15,53,6.67,6.68,6.69,6.63,10619,80054,"-3,279",19.98%,"15:15 ET"
SPY,420.91,Put,407,2023-11-17,25,3.14,3.15,3.15,3.19,1793,28708,"-3,146",20.82%,"15:12 ET"
IWM,165.32,Put,161,2023-11-03,11,1.16,1.17,1.18,1.15,1026,4569,"-2,737",27.49%,"15:12 ET"
SPY,420.91,Put,380,2023-11-17,25,0.8,0.81,0.81,0.81,6382,80181,"-2,618",27.19%,"15:16 ET"
GDX,29.2,Call,31,2023-12-15,53,0.9,0.91,0.92,0.91,15471,8776,"-2,508",33.22%,"15:07 ET"
QQQ,356.22,Put,365,2023-12-15,53,14.45,14.52,14.58,14.33,873,50441,"-2,507",20.97%,"14:54 ET"
SPY,420.91,Put,390,2023-12-15,53,3.23,3.24,3.24,3.24,25843,64833,"-2,478",23.29%,"15:15 ET"
SLV,21.01,Call,22,2024-03-28,157,1.29,1.3,1.31,1.35,3959,7999,"-2,298",26.63%,"11:34 ET"
QQQ,356.22,Call,375,2023-12-15,53,5.12,5.14,5.15,5.06,1328,33472,"-2,186",19.95%,"15:13 ET"
QQQ,356.22,Put,355,2023-12-15,53,10.1,10.12,10.14,10.14,30885,51618,"-2,184",22.68%,"15:16 ET"
SPY,420.91,Put,432,2023-11-17,25,12.22,12.25,12.27,12.2,1357,16185,"-2,169",15.28%,"15:12 ET"
SLV,21.01,Call,21,2024-01-19,88,1.26,1.27,1.27,1.28,2513,213499,"-2,027",26.01%,"13:52 ET"
SPY,420.91,Put,423,2023-10-24,1,2.3,2.31,2.32,2.3,46440,3840,"-1,964",20.32%,"15:17 ET"
SPY,420.91,Put,370,2024-03-15,144,5.12,5.16,5.2,5.15,16065,10740,"-1,894",24.11%,"15:15 ET"
IWM,165.32,Put,160,2023-10-27,4,0.28,0.29,0.29,0.28,2513,13205,"-1,861",29.72%,"15:12 ET"
KRE,39.06,Put,40,2023-12-15,53,2.31,2.32,2.33,2.22,2608,16063,"-1,838",33.85%,"14:59 ET"
QQQ,356.22,Put,360,2023-11-17,25,9.12,9.14,9.16,9.15,5099,70944,"-1,837",21.98%,"15:15 ET"
SPY,420.91,Put,395,2023-11-17,25,1.63,1.63,1.64,1.65,6618,30323,"-1,791",23.42%,"15:12 ET"
