Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
AMC,5.85,Put,6,2023-06-16,39,1.21,1.23,1.25,1.21,873,113458,"-11,245",151.77%,"09:39 ET"
OPEN,1.875,Call,2,2023-05-19,11,0.13,0.14,0.15,0.13,663,16751,"-6,580",136.33%,"09:35 ET"
MULN,1.545,Call,2,2023-07-21,74,0.35,0.36,0.36,0.36,555,193,"-5,961",168.80%,"09:36 ET"
AMC,5.85,Put,5,2023-06-16,39,0.51,0.53,0.54,0.53,798,96142,"-5,667",129.80%,"09:39 ET"
GOLD,20.06,Call,17,2024-01-19,256,4.2,4.25,4.3,4.27,1514,35416,"-5,501",37.43%,"09:36 ET"
PLTR,7.69,Call,8,2023-05-19,11,0.43,0.44,0.45,0.42,969,49704,"-3,056",93.89%,"09:36 ET"
AAPL,173.32,Put,165,2023-05-19,11,0.61,0.62,0.62,0.62,1045,24214,"-2,769",26.81%,"09:39 ET"
ABR,12.3,Call,12.5,2023-05-19,11,0.2,0.23,0.25,0.25,505,7915,"-2,768",42.95%,"09:39 ET"
FUBO,1.6499,Call,1.5,2023-05-12,4,0.16,0.17,0.17,0.16,6768,19225,"-1,443",190.24%,"09:39 ET"
AMZN,104.8,Call,105,2023-05-19,11,2.48,2.49,2.49,2.49,575,55931,"-1,298",31.77%,"09:39 ET"
TSLA,171.29,Put,160,2023-05-19,11,1.84,1.85,1.86,1.84,526,27962,"-1,041",51.92%,"09:36 ET"
TSLA,171.29,Put,150,2023-05-19,11,0.6,0.61,0.61,0.6,630,40198,"-1,036",56.44%,"09:36 ET"
TSLA,171.29,Call,210,2023-05-19,11,0.14,0.15,0.15,0.13,1203,13956,-893,56.92%,"09:36 ET"
CSX,32.09,Call,32.5,2023-05-19,11,0.25,0.3,0.35,0.35,1030,4501,-877,22.14%,"09:38 ET"
AMD,89.52,Call,92,2023-05-12,4,0.9,0.91,0.92,0.91,2429,6135,-824,46.39%,"09:39 ET"
ET,12.39,Call,13,2023-06-16,39,0.13,0.14,0.15,0.14,539,39616,-807,23.15%,"09:39 ET"
RRGB,12.87,Call,12.5,2023-05-19,11,0.5,0.7,0.9,0.9,545,1060,-800,83.39%,"09:36 ET"
MARA,9.55,Put,9,2023-05-12,4,0.31,0.32,0.33,0.31,539,3127,-635,147.09%,"09:36 ET"
AAPL,173.32,Call,220,2023-08-18,102,0.1,0.11,0.11,0.11,571,3533,-622,19.91%,"09:34 ET"
AMD,89.52,Call,90,2023-05-12,4,1.66,1.67,1.69,1.67,2995,10556,-567,45.67%,"09:39 ET"
DKNG,24.1,Call,23,2023-05-12,4,1.35,1.38,1.41,1.39,1001,907,-426,65.52%,"09:39 ET"
RIOT,10.49,Call,11,2023-05-12,4,0.35,0.36,0.36,0.35,1620,1650,-418,131.93%,"09:36 ET"
FUBO,1.6499,Call,2,2023-08-18,102,0.26,0.3,0.33,0.25,5519,6502,-418,128.50%,"09:35 ET"
AAPL,173.32,Call,175,2023-06-16,39,4.35,4.38,4.4,4.3,534,49318,-321,21.88%,"09:39 ET"
DIS,103.1,Call,110,2023-05-19,11,1.27,1.29,1.31,1.26,735,21725,-292,48.84%,"09:39 ET"
SOFI,5.26,Call,5,2023-05-12,4,0.33,0.34,0.35,0.33,1820,13615,-288,75.70%,"09:36 ET"
CRM,198.24,Call,200,2023-05-12,4,2.14,2.17,2.19,2.14,1886,1016,-278,32.19%,"09:39 ET"
VRM,0.864,Put,15,2024-01-19,256,14.1,14.13,14.15,14.15,525,288,-243,231.05%,"09:32 ET"
GOOGL,105.94,Call,110,2023-05-19,11,0.82,0.83,0.83,0.83,669,32736,-202,29.45%,"09:39 ET"
AMC,5.85,Call,5,2023-06-16,39,0.82,0.87,0.92,0.83,711,42195,-199,35.07%,"09:35 ET"
PLUG,9.32,Call,12.5,2023-05-19,11,0.11,0.11,0.12,0.11,501,5271,-197,125.04%,"09:35 ET"
WW,9.66,Call,10,2024-01-19,256,2.75,2.93,3.1,2.95,1000,10959,-184,94.81%,"09:32 ET"
AAPL,173.32,Call,177.5,2023-05-19,11,0.9,0.91,0.92,0.88,516,10855,-156,20.78%,"09:39 ET"
ALLY,25.15,Put,24,2023-05-19,11,0.4,0.45,0.5,0.5,1002,1933,-139,58.21%,"09:35 ET"
TSLA,171.29,Call,215,2023-05-19,11,0.1,0.11,0.11,0.11,572,10450,-136,59.95%,"09:36 ET"
TSLA,171.29,Put,170,2023-05-19,11,4.9,4.93,4.95,5,675,14452,-118,48.62%,"09:36 ET"
RIOT,10.49,Call,10.5,2023-05-12,4,0.53,0.54,0.55,0.54,568,384,-106,130.92%,"09:36 ET"
NFLX,326.85,Call,350,2023-05-12,4,0.16,0.17,0.17,0.17,707,1897,-93,37.37%,"09:36 ET"
TSLA,171.29,Put,175,2023-05-19,11,7.4,7.48,7.55,7.44,941,8837,-77,47.12%,"09:36 ET"
DIS,103.1,Call,110,2023-06-16,39,2.25,2.28,2.3,2.3,772,12475,-70,33.53%,"09:38 ET"
AAPL,173.32,Call,130,2023-09-15,130,45.35,45.65,45.95,45.6,501,2493,-35,31.55%,"09:35 ET"
ZS,108.23,Call,110,2023-05-19,11,3.05,3.15,3.25,3.25,939,1524,-35,66.15%,"09:36 ET"
GNW,5.09,Call,5,2023-05-19,11,0.2,0.28,0.35,0.2,500,873,-30,30.42%,"09:32 ET"
FCX,37.04,Put,35,2023-05-19,11,0.35,0.36,0.37,0.33,501,7612,-23,43.93%,"09:33 ET"
NIO,8.18,Call,10,2023-06-16,39,0.29,0.31,0.32,0.33,523,33906,-21,72.90%,"09:35 ET"
AMZN,104.8,Call,120,2024-01-19,256,7.55,7.6,7.65,7.65,922,30818,-7,33.22%,"09:39 ET"
GE,100.68,Call,120,2023-09-15,130,1.42,1.51,1.59,1.53,3933,445,-7,26.85%,"09:38 ET"
FCX,37.04,Put,35,2023-06-16,39,1.1,1.13,1.15,1.11,1003,7246,-5,43.03%,"09:33 ET"
BKD,3.97,Call,4,2023-05-19,11,0.3,0.32,0.35,0.34,5082,160,-5,135.55%,"09:38 ET"
