Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
EEM,39.19,Put,43,2023-06-16,30,3.8,3.98,4.15,3.9,9000,48132,"+45,547",25.99%,"13:56 ET"
SLV,21.82,Put,21,2023-06-16,30,0.31,0.32,0.32,0.31,30297,52870,"+40,272",27.20%,"13:55 ET"
IWM,176.29,Put,164,2023-07-21,65,2.35,2.36,2.37,2.36,34887,33437,"+24,962",24.96%,"13:53 ET"
IWM,176.29,Call,175,2023-05-19,2,1.92,1.94,1.96,1.92,35285,67145,"+21,400",22.95%,"13:53 ET"
SPY,415.71,Put,390,2023-07-21,65,4,4.01,4.02,4,36094,94251,"+18,779",20.29%,"13:54 ET"
IWM,176.29,Call,177,2023-05-26,9,1.85,1.86,1.87,1.86,34561,25397,"+16,540",19.54%,"13:56 ET"
HYG,74.28,Put,74,2023-06-16,30,0.62,0.66,0.69,0.68,794,223164,"+15,542",9.60%,"13:16 ET"
SPY,415.71,Call,412,2023-05-17,0,3.55,3.59,3.62,3.59,328908,24287,"+14,512",9.06%,"13:56 ET"
IWM,176.29,Put,165,2023-06-16,30,1.17,1.18,1.19,1.18,5464,249074,"+14,348",25.69%,"13:52 ET"
HYG,74.28,Put,71,2023-07-21,65,0.34,0.4,0.45,0.4,22505,29908,"+13,516",12.37%,"12:47 ET"
EFA,73.37,Put,70,2023-06-02,16,0.1,0.13,0.15,0.16,10000,35573,"+13,500",17.79%,"11:11 ET"
EFA,73.37,Call,70,2023-06-02,16,3.6,3.65,3.7,3.21,10001,34500,"+13,500",20.89%,"11:11 ET"
QQQ,331.57,Put,328,2023-06-16,30,4.66,4.67,4.68,4.71,5087,16987,"+13,208",17.89%,"13:56 ET"
QQQ,331.57,Put,315,2023-06-16,30,2.04,2.05,2.06,2.08,5959,104221,"+13,050",21.53%,"13:56 ET"
QQQ,331.57,Put,290,2023-06-16,30,0.45,0.46,0.46,0.44,4630,153435,"+11,752",28.18%,"13:55 ET"
SQQQ,26.7,Call,28,2023-05-19,2,0.1,0.11,0.11,0.11,21930,24839,"+11,676",63.38%,"13:56 ET"
SPY,415.71,Put,391,2023-06-02,16,0.57,0.58,0.58,0.58,2801,15830,"+11,023",20.62%,"13:54 ET"
SPY,415.71,Put,403,2023-06-16,30,3.3,3.3,3.31,3.31,1911,33582,"+10,394",18.12%,"13:56 ET"
TLT,102.47,Call,105,2023-06-16,30,1.12,1.13,1.14,1.09,1878,28687,"+10,283",17.43%,"13:50 ET"
HYG,74.28,Call,75,2023-07-21,65,0.56,0.62,0.67,0.62,2001,57574,"+10,001",7.46%,"13:36 ET"
SPY,415.71,Call,413,2023-05-17,0,2.59,2.62,2.65,2.58,285748,18769,"+9,944",8.14%,"13:56 ET"
SPY,415.71,Put,381,2023-06-16,30,1.11,1.12,1.12,1.11,1080,20760,"+9,909",23.38%,"13:50 ET"
USO,64.73,Put,63,2023-06-16,30,1.69,1.73,1.76,1.71,1037,19337,"+9,531",35.44%,"13:01 ET"
USO,64.73,Put,63,2023-06-02,16,0.99,1.03,1.06,1.08,954,19094,"+9,502",33.84%,"12:35 ET"
SPY,415.71,Call,414,2023-05-17,0,1.66,1.69,1.73,1.7,185619,14004,"+8,738",7.36%,"13:56 ET"
QQQ,331.57,Call,315,2023-05-19,2,16.59,16.69,16.79,16.75,646,79422,"+8,613",41.81%,"13:52 ET"
IWM,176.29,Put,160,2023-06-16,30,0.7,0.71,0.71,0.71,4141,124441,"+8,584",28.19%,"13:52 ET"
SPY,415.71,Call,414,2023-05-19,2,2.94,2.95,2.95,2.95,39302,27809,"+8,459",16.73%,"13:56 ET"
QQQ,331.57,Put,330,2023-06-16,30,5.31,5.32,5.33,5.35,15917,16827,"+8,391",17.34%,"13:56 ET"
QQQ,331.57,Call,330,2023-06-16,30,8.25,8.26,8.27,8.22,8439,54952,"+8,365",17.92%,"13:56 ET"
EEM,39.19,Put,37,2023-06-16,30,0.18,0.19,0.19,0.19,2209,80044,"+8,319",20.92%,"13:50 ET"
SPY,415.71,Call,428,2023-06-16,30,1.64,1.65,1.65,1.73,1722,19424,"+8,197",11.40%,"13:51 ET"
SPY,415.71,Put,407,2023-05-19,2,0.23,0.24,0.24,0.23,9046,29827,"+7,601",20.28%,"13:56 ET"
QQQ,331.57,Put,325,2023-05-19,2,0.26,0.27,0.27,0.26,32551,17778,"+7,133",21.44%,"13:56 ET"
IWM,176.29,Call,178,2023-05-26,9,1.39,1.4,1.41,1.4,30891,12860,"+7,132",19.08%,"13:54 ET"
SPY,415.71,Put,390,2023-06-02,16,0.53,0.54,0.54,0.53,1218,22404,"+7,049",20.83%,"13:54 ET"
GDX,32.63,Call,34,2023-06-16,30,0.75,0.76,0.76,0.75,514,49190,"+6,946",33.63%,"13:43 ET"
QQQ,331.57,Put,285,2023-06-16,30,0.33,0.34,0.35,0.33,1672,68424,"+6,754",29.31%,"13:37 ET"
SPY,415.71,Put,400,2023-05-19,2,0.09,0.1,0.1,0.1,12110,151237,"+6,589",27.65%,"13:56 ET"
SPY,415.71,Call,415,2023-05-17,0,0.94,0.95,0.95,0.95,197759,12181,"+6,275",7.29%,"13:56 ET"
IWM,176.29,Put,155,2023-06-16,30,0.43,0.44,0.44,0.43,1737,76850,"+6,254",30.67%,"13:54 ET"
QQQ,331.57,Call,331,2023-05-17,0,0.82,0.83,0.83,0.82,50853,7703,"+6,233",7.67%,"13:56 ET"
SPY,415.71,Call,416,2023-05-17,0,0.41,0.42,0.42,0.41,109655,11976,"+6,114",7.00%,"13:57 ET"
IWM,176.29,Call,177,2023-05-17,0,0.09,0.1,0.1,0.1,6613,9522,"+6,110",9.84%,"13:56 ET"
IWM,176.29,Put,160,2023-06-30,44,1.11,1.13,1.14,1.14,1790,23606,"+6,089",27.12%,"13:56 ET"
QQQ,331.57,Call,329,2023-05-17,0,2.49,2.54,2.58,2.53,93985,8112,"+6,077",8.18%,"13:56 ET"
GLD,184.12,Put,180,2023-06-16,30,1.29,1.31,1.32,1.31,2135,33075,"+6,043",15.17%,"13:53 ET"
IWM,176.29,Call,174,2023-05-17,0,2.11,2.18,2.26,2.26,42602,7796,"+5,975",14.42%,"13:56 ET"
SPY,415.71,Call,413,2023-05-19,2,3.65,3.68,3.7,3.64,33269,26293,"+5,972",17.36%,"13:56 ET"
SPY,415.71,Call,417,2023-05-17,0,0.14,0.15,0.15,0.14,62013,14176,"+5,933",7.02%,"13:56 ET"
XLI,99.56,Put,94,2023-06-16,30,0.43,0.44,0.45,0.45,2465,19609,"+5,883",20.50%,"13:42 ET"
SPY,415.71,Put,404,2023-05-26,9,0.76,0.77,0.77,0.77,5257,14477,"+5,816",16.97%,"13:55 ET"
QQQ,331.57,Call,332,2023-05-17,0,0.31,0.32,0.32,0.32,34413,7666,"+5,748",7.70%,"13:56 ET"
GLD,184.12,Call,180,2023-06-16,30,6.15,6.2,6.25,6.25,818,44205,"+5,700",15.43%,"13:43 ET"
SPY,415.71,Put,400,2023-06-16,30,2.84,2.84,2.85,2.85,22110,173432,"+5,428",18.91%,"13:56 ET"
SPY,415.71,Put,405,2023-05-30,13,1.11,1.12,1.13,1.15,1039,5314,"+5,314",15.26%,"13:45 ET"
SPY,415.71,Put,403,2023-05-19,2,0.12,0.13,0.13,0.13,4695,35302,"+5,305",24.27%,"13:55 ET"
SLV,21.82,Call,22,2023-05-26,9,0.28,0.29,0.29,0.29,768,8475,"+5,209",26.65%,"13:55 ET"
SPY,415.71,Put,411,2023-06-16,30,4.99,5,5.01,5.02,3855,18751,"+5,074",15.94%,"13:56 ET"
IWM,176.29,Call,176,2023-05-22,5,1.63,1.64,1.65,1.64,20096,5266,"+5,013",18.05%,"13:55 ET"
QQQ,331.57,Call,328,2023-05-17,0,3.47,3.52,3.56,3.49,139629,6505,"+4,919",12.79%,"13:56 ET"
SPY,415.71,Call,411,2023-05-17,0,4.5,4.56,4.62,4.54,127515,10109,"+4,829",12.83%,"13:56 ET"
SPY,415.71,Call,412,2023-05-18,1,3.99,4.05,4.11,4.03,86299,9223,"+4,812",19.43%,"13:56 ET"
