Symbol,Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
IWM|20231117|167.00P,IWM,174.7,Put,167,2023-11-17,52,2.46,2.47,2.48,2.39,120676,57868,"+53,242",22.46%,"15:08 ET"
IWM|20231117|169.00P,IWM,174.7,Put,169,2023-11-17,52,2.95,2.96,2.97,2.92,58390,66869,"+45,666",21.85%,"15:06 ET"
EEM|20231020|33.00C,EEM,37.76,Call,33,2023-10-20,24,4.9,4.95,5,4.99,35001,125000,"+26,500",42.16%,"13:52 ET"
FXI|20240315|25.85P,FXI,26.33,Put,25.85,2024-03-15,171,1.64,1.67,1.7,1.61,1500,31234,"+19,771",28.30%,"10:40 ET"
SPY|20230926|427.00P,SPY,425.58,Put,427,2023-09-26,0,1.75,1.76,1.77,1.77,412793,21153,"+19,044",6.42%,"15:20 ET"
SPY|20230929|430.00P,SPY,425.58,Put,430,2023-09-29,3,5.71,5.73,5.76,5.71,37962,88624,"+16,260",18.36%,"15:20 ET"
SPY|20230926|430.00P,SPY,425.58,Put,430,2023-09-26,0,4.64,4.69,4.73,4.67,57780,21317,"+15,202",11.48%,"15:19 ET"
IWM|20231006|172.00P,IWM,174.7,Put,172,2023-10-06,10,1.44,1.44,1.45,1.42,3510,15619,"+15,063",22.87%,"15:18 ET"
HYG|20231117|72.00P,HYG,73.59,Put,72,2023-11-17,52,0.49,0.52,0.54,0.54,29442,143907,"+13,603",11.68%,"14:57 ET"
SPY|20231020|410.00P,SPY,425.58,Put,410,2023-10-20,24,2.72,2.73,2.73,2.72,29395,117907,"+12,955",19.95%,"15:19 ET"
SPY|20230926|428.00P,SPY,425.58,Put,428,2023-09-26,0,2.67,2.7,2.73,2.74,275563,16885,"+12,522",7.37%,"15:19 ET"
KWEB|20240119|35.00C,KWEB,26.97,Call,35,2024-01-19,115,0.41,0.42,0.42,0.42,6361,80976,"+11,941",38.39%,"15:18 ET"
TLT|20231020|87.00P,TLT,88.86,Put,87,2023-10-20,24,0.96,0.97,0.98,0.97,617,16395,"+11,318",20.23%,"15:16 ET"
SPY|20231020|420.00P,SPY,425.58,Put,420,2023-10-20,24,5.01,5.02,5.02,5.01,66793,145719,"+11,286",18.00%,"15:19 ET"
SPY|20231013|425.00P,SPY,425.58,Put,425,2023-10-13,17,5.84,5.85,5.86,5.87,2177,14674,"+10,863",17.35%,"15:19 ET"
SPY|20230926|429.00P,SPY,425.58,Put,429,2023-09-26,0,3.66,3.69,3.72,3.69,114021,14950,"+10,656",0.00%,"15:19 ET"
SPY|20231006|405.00P,SPY,425.58,Put,405,2023-10-06,10,0.73,0.74,0.75,0.74,794,15847,"+10,576",23.34%,"15:19 ET"
SPY|20231013|413.00P,SPY,425.58,Put,413,2023-10-13,17,2.48,2.49,2.49,2.35,754,10195,"+10,195",19.98%,"15:04 ET"
SPY|20230929|421.00P,SPY,425.58,Put,421,2023-09-29,3,1.7,1.71,1.71,1.7,24237,22369,"+9,913",22.68%,"15:19 ET"
EFA|20231117|67.00P,EFA,68.71,Put,67,2023-11-17,52,0.86,0.9,0.94,0.86,2100,9970,"+9,504",14.94%,"13:24 ET"
IWM|20231020|165.00P,IWM,174.7,Put,165,2023-10-20,24,0.94,0.95,0.95,0.92,32077,74478,"+9,451",24.11%,"15:16 ET"
HYG|20231020|73.00P,HYG,73.59,Put,73,2023-10-20,24,0.43,0.46,0.49,0.46,31461,325752,"+9,199",10.36%,"15:19 ET"
QQQ|20230926|357.00P,QQQ,353.65,Put,357,2023-09-26,0,3.36,3.4,3.43,3.48,42097,10453,"+8,805",11.27%,"15:18 ET"
KRE|20231020|41.00P,KRE,41.25,Put,41,2023-10-20,24,1.17,1.17,1.18,1.18,2225,18831,"+8,355",32.04%,"15:16 ET"
TAN|20231020|56.00C,TAN,51.72,Call,56,2023-10-20,24,0.7,0.73,0.75,0.75,3579,19258,"+8,008",39.98%,"14:39 ET"
ARKK|20230929|40.00C,ARKK,38.42,Call,40,2023-09-29,3,0.12,0.13,0.14,0.13,5570,10064,"+7,851",43.00%,"15:09 ET"
TLT|20230929|90.00C,TLT,88.86,Call,90,2023-09-29,3,0.32,0.33,0.33,0.33,15354,10866,"+7,816",23.63%,"15:17 ET"
TLT|20231020|88.00P,TLT,88.86,Put,88,2023-10-20,24,1.3,1.32,1.33,1.32,1750,13115,"+7,706",19.93%,"15:19 ET"
QQQ|20231006|355.00P,QQQ,353.65,Put,355,2023-10-06,10,5.81,5.82,5.83,5.83,17338,13014,"+7,699",22.75%,"15:19 ET"
SQQQ|20230929|21.00C,SQQQ,21.21,Call,21,2023-09-29,3,0.71,0.72,0.73,0.71,25273,16093,"+7,691",77.47%,"15:19 ET"
TLT|20231020|90.00C,TLT,88.86,Call,90,2023-10-20,24,1.22,1.23,1.23,1.22,5952,18343,"+7,615",17.89%,"15:20 ET"
