Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
XLF,33.14,Put,30,2024-01-19,93,0.38,0.39,0.39,0.36,669,149161,"+78,236",24.14%,"14:39 ET"
IWM,171.26,Put,167,2023-12-15,58,3.72,3.73,3.74,3.61,36210,41278,"+34,893",22.77%,"14:57 ET"
SPY,430.26,Call,400,2023-11-17,30,34.3,34.36,34.43,34.12,4017,31259,"+30,502",25.31%,"15:02 ET"
SPY,430.26,Put,400,2023-11-17,30,1.7,1.71,1.71,1.73,29440,199637,"+27,412",23.38%,"15:12 ET"
HYG,72.07,Call,73,2023-11-17,30,0.28,0.29,0.3,0.28,11706,88081,"+25,943",6.80%,"15:13 ET"
SPY,430.26,Put,430,2023-11-17,30,7.24,7.25,7.25,7.26,14464,58650,"+21,220",16.78%,"15:14 ET"
XLE,91.73,Call,95,2023-11-17,30,1.47,1.48,1.49,1.49,3332,50580,"+20,776",25.38%,"15:13 ET"
SQQQ,19.63,Call,20,2023-10-20,2,0.29,0.3,0.3,0.29,68617,101143,"+18,059",80.83%,"15:14 ET"
SPY,430.26,Call,430,2023-11-17,30,9.92,9.93,9.94,9.84,4030,43144,"+17,936",17.77%,"15:13 ET"
HYG,72.07,Put,72,2023-11-17,30,0.75,0.78,0.82,0.79,11510,217652,"+16,351",11.14%,"15:10 ET"
SLV,20.92,Put,20,2023-11-17,30,0.26,0.27,0.27,0.27,3929,39594,"+13,976",27.94%,"15:10 ET"
IWM,171.26,Put,173,2023-10-18,0,1.41,1.46,1.5,1.5,18334,14606,"+13,389",14.57%,"15:12 ET"
SPY,430.26,Put,422,2023-10-20,2,0.37,0.38,0.38,0.39,8092,42836,"+13,185",22.64%,"15:12 ET"
QQQ,363.15,Call,380,2023-11-17,30,2.59,2.59,2.6,2.57,6094,31823,"+12,737",18.61%,"15:13 ET"
SPY,430.26,Put,432,2023-10-18,0,1.41,1.44,1.47,1.41,423763,16711,"+12,534",6.47%,"15:13 ET"
SPY,430.26,Put,418,2023-10-20,2,0.15,0.16,0.16,0.17,1648,44326,"+12,017",24.54%,"15:12 ET"
IWM,171.26,Put,166,2023-11-17,30,2.24,2.25,2.25,2.27,30073,57124,"+11,342",24.25%,"15:10 ET"
HYG,72.07,Call,74,2024-01-19,93,0.23,0.25,0.26,0.25,3453,43574,"+11,177",4.83%,"14:56 ET"
SPY,430.26,Put,390,2024-02-16,121,5.55,5.56,5.57,5.64,3138,17511,"+11,010",22.52%,"15:11 ET"
HYG,72.07,Call,74,2023-12-15,58,0.13,0.16,0.18,0.17,4060,67539,"+10,040",5.79%,"11:35 ET"
HYG,72.07,Put,70,2023-11-17,30,0.24,0.27,0.29,0.23,43186,167638,"+9,976",12.63%,"14:53 ET"
IWM,171.26,Call,185,2023-12-15,58,1.24,1.25,1.26,1.24,837,89113,"+9,495",18.52%,"15:10 ET"
EEM,37.42,Put,37.5,2023-10-20,2,0.26,0.28,0.29,0.22,589,41072,"+8,990",21.28%,"13:11 ET"
