Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
IWM,169.74,Put,160,2023-12-15,37,1.07,1.08,1.08,1.09,21873,238621,"+28,250",21.48%,"15:12 ET"
SPY,437.23,Call,440,2023-12-15,37,6.49,6.5,6.51,6.51,2987,71385,"+27,274",12.75%,"15:15 ET"
SPY,437.23,Put,423,2023-12-15,37,2.94,2.95,2.95,3.02,2366,23453,"+18,671",15.73%,"15:01 ET"
QQQ,372.77,Put,373,2023-11-17,9,3.84,3.85,3.86,3.97,8463,23727,"+18,381",16.24%,"15:11 ET"
SPY,437.23,Put,405,2023-12-15,37,1.1,1.11,1.11,1.13,6650,48641,"+18,299",19.00%,"15:11 ET"
SPY,437.23,Put,430,2023-11-17,9,1.16,1.17,1.17,1.16,41039,112438,"+17,722",13.66%,"15:15 ET"
SPY,437.23,Call,460,2023-12-15,37,0.64,0.65,0.65,0.63,1305,39979,"+17,249",10.99%,"15:11 ET"
EWZ,31.97,Call,32,2023-11-17,9,0.51,0.52,0.53,0.51,1752,67754,"+17,039",25.05%,"15:02 ET"
SPY,437.23,Put,437,2023-11-08,0,0.38,0.39,0.39,0.38,424178,16408,"+14,918",3.31%,"15:15 ET"
EEM,38.42,Put,36,2024-01-19,72,0.41,0.43,0.44,0.41,21136,131489,"+14,002",20.14%,"15:11 ET"
HYG,74.16,Call,75,2024-01-19,72,0.35,0.39,0.43,0.42,34008,104074,"+13,203",4.33%,"11:54 ET"
IWM,169.74,Call,177,2023-11-17,9,0.3,0.31,0.31,0.32,3141,45011,"+12,765",21.03%,"14:56 ET"
SQQQ,18.08,Call,18,2023-11-10,2,0.35,0.36,0.36,0.36,13127,15207,"+12,530",54.47%,"15:15 ET"
SPY,437.23,Put,425,2023-11-15,7,0.32,0.33,0.33,0.34,1986,14297,"+12,246",14.62%,"15:14 ET"
EEM,38.42,Call,40,2023-12-15,37,0.25,0.26,0.26,0.27,2532,130070,"+12,001",15.70%,"14:53 ET"
QQQ,372.77,Call,380,2023-11-24,16,2.12,2.13,2.14,2.12,762,21225,"+11,966",15.06%,"15:15 ET"
HYG,74.16,Put,73,2024-01-19,72,0.65,0.7,0.75,0.7,4827,114670,"+11,931",10.39%,"14:12 ET"
GLD,180.76,Call,180,2023-11-17,9,2.01,2.03,2.04,2,612,29102,"+11,596",13.16%,"15:14 ET"
IWM,169.74,Put,165,2023-12-15,37,2.02,2.03,2.03,2.04,11526,144796,"+11,243",19.76%,"15:10 ET"
QQQ,372.77,Call,373,2023-11-17,9,3.89,3.9,3.91,3.9,11172,18575,"+11,038",16.83%,"15:14 ET"
HYG,74.16,Call,73,2023-11-17,9,1.26,1.3,1.33,1.24,5014,136741,"+10,672",9.61%,"15:01 ET"
SPY,437.23,Put,435,2023-11-10,2,0.92,0.93,0.93,0.92,60430,22810,"+10,644",13.25%,"15:15 ET"
ARKK,40.37,Call,45,2024-01-19,72,1.08,1.1,1.12,1.09,10491,49809,"+10,358",35.71%,"15:15 ET"
SQQQ,18.08,Call,18.5,2023-11-10,2,0.16,0.17,0.17,0.17,32035,16774,"+10,248",59.51%,"15:14 ET"
SLV,20.65,Call,23,2023-12-15,37,0.12,0.13,0.13,0.13,17162,39967,"+10,162",28.51%,"15:02 ET"
TLT,89.51,Call,88,2024-01-19,72,3.8,3.85,3.9,3.75,4321,34801,"+10,125",16.96%,"14:54 ET"
IWM,169.74,Put,167,2023-12-15,37,2.59,2.6,2.61,2.63,1103,29238,"+10,035",19.15%,"14:34 ET"
ARKK,40.37,Call,51,2024-01-19,72,0.25,0.26,0.27,0.26,10130,40627,"+9,978",35.88%,"13:07 ET"
SPY,437.23,Put,420,2024-01-19,72,4.6,4.61,4.62,4.62,3006,71076,"+9,888",16.04%,"15:08 ET"
SLV,20.65,Call,22,2023-12-15,37,0.26,0.27,0.27,0.26,2141,24358,"+9,680",26.24%,"15:02 ET"
IWM,169.74,Call,187,2023-12-15,37,0.29,0.3,0.3,0.3,2060,27952,"+9,647",19.03%,"14:44 ET"
SPY,437.23,Put,390,2024-01-19,72,1.54,1.55,1.55,1.58,6537,38458,"+9,189",20.40%,"15:03 ET"
SPY,437.23,Put,380,2023-12-15,37,0.4,0.41,0.41,0.41,1955,142701,"+8,667",24.53%,"14:55 ET"
UVXY,12.46,Call,13,2023-11-17,9,0.51,0.52,0.53,0.53,10502,11487,"+8,631",91.42%,"15:14 ET"
QQQ,372.77,Put,370,2023-11-10,2,0.96,0.97,0.97,0.96,35877,13419,"+8,450",18.14%,"15:15 ET"
EEM,38.42,Put,37,2024-01-19,72,0.64,0.66,0.68,0.66,5001,96540,"+8,095",19.64%,"14:00 ET"
USO,70.27,Call,80,2023-12-15,37,0.65,0.66,0.67,0.66,13031,9898,"+7,992",37.15%,"15:12 ET"
