Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Ask,Last,Volume,"Open Int","OI Chg",Delta,IV,Time
IWM,169.34,Put,160.00,2024-01-19,67,2.07,2.09,2.1,2407,106652,"+45,979",-0.227455,20.95%,"14:46 ET"
SPY,440.51,Put,420.00,2024-01-19,67,3.64,3.65,3.69,15108,111946,"+39,613",-0.205011,16.36%,"15:11 ET"
SPY,440.51,Call,441.00,2023-11-13,0,0.15,0.16,0.16,525914,25743,"+21,280",0.370507,2.74%,"15:18 ET"
SQQQ,17.38,Call,17.50,2023-11-17,4,0.36,0.37,0.37,14511,20631,"+18,682",0.46013,60.31%,"15:16 ET"
ARKK,39.8,Call,40.50,2023-11-17,4,0.39,0.4,0.37,750,18957,"+18,571",0.356381,40.13%,"15:10 ET"
IHI,46.69,Call,46.00,2023-11-17,4,1,1.1,1.08,7825,12347,"+12,105",0.724202,29.49%,"14:38 ET"
SQQQ,17.38,Call,18.00,2023-11-17,4,0.2,0.21,0.21,19058,24085,"+11,970",0.300497,62.71%,"15:18 ET"
UVXY,12.15,Call,13.00,2023-11-17,4,0.24,0.25,0.24,4980,17761,"+11,899",0.286271,112.86%,"15:17 ET"
IWM,169.34,Call,170.00,2023-12-15,32,3.8,3.83,3.82,3631,61606,"+10,649",0.507706,19.31%,"15:17 ET"
KWEB,27.26,Call,30.00,2024-02-16,95,1.05,1.09,1.08,12377,14170,"+10,367",0.356828,35.37%,"15:14 ET"
QQQ,377.6,Put,365.00,2023-12-15,32,3.05,3.07,3.11,6460,84576,"+10,227",-0.238201,19.11%,"15:11 ET"
SPY,440.51,Call,440.00,2023-11-13,0,0.8,0.82,0.8,403027,17532,"+9,601",0.95659,2.02%,"15:18 ET"
SPY,440.51,Put,430.00,2023-11-17,4,0.27,0.28,0.28,32265,122821,"+9,534",-0.07833,17.04%,"15:17 ET"
QQQ,377.6,Put,366.00,2023-11-17,4,0.34,0.35,0.34,903,21894,"+9,469",-0.082604,22.60%,"15:15 ET"
IWM,169.34,Call,185.00,2024-01-19,67,0.77,0.78,0.77,672,69324,"+9,289",0.132121,16.46%,"15:10 ET"
SPY,440.51,Put,410.00,2023-12-15,32,0.95,0.96,0.95,5058,114438,"+8,741",-0.082785,18.88%,"15:18 ET"
EFA,69.31,Call,69.00,2023-11-17,4,0.64,0.68,0.58,1707,17479,"+8,730",0.61053,16.60%,"11:18 ET"
SQQQ,17.38,Call,18.50,2023-11-17,4,0.11,0.12,0.11,8702,18940,"+8,563",0.179524,64.19%,"15:17 ET"
QQQ,377.6,Put,360.00,2023-12-15,32,2.22,2.23,2.24,11433,75771,"+8,203",-0.179412,19.99%,"15:17 ET"
QQQ,377.6,Call,400.00,2023-12-29,46,1.93,1.95,1.92,1472,16330,"+8,084",0.180967,15.07%,"15:09 ET"
LQD,102.18,Put,101.00,2023-11-17,4,0.13,0.16,0.14,804,14343,"+7,694",-0.18837,12.60%,"15:13 ET"
IWM,169.34,Call,172.00,2023-12-01,18,1.78,1.8,1.79,5260,8330,"+7,192",0.376907,18.62%,"15:16 ET"
IWM,169.34,Call,188.00,2023-12-15,32,0.12,0.13,0.12,605,37786,"+7,087",0.033673,18.39%,"15:15 ET"
EFA,69.31,Put,68.00,2023-11-17,4,0.07,0.1,0.11,10003,26750,"+6,917",-0.135751,16.91%,"11:24 ET"
SPY,440.51,Put,390.00,2023-12-15,32,0.39,0.4,0.39,8806,80461,"+6,841",-0.031908,23.40%,"15:10 ET"
