Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
AAPL,179.42,Call,192.5,2023-06-16,10,0.11,0.11,0.12,0.11,31136,45564,"+42,220",23.25%,"15:21 ET"
CHPT,9.47,Put,8.5,2023-06-16,10,0.09,0.1,0.1,0.1,1185,41415,"+40,333",72.48%,"15:05 ET"
MS,86.03,Call,86,2023-06-09,3,0.75,0.76,0.77,0.75,41607,17705,"+17,061",21.95%,"15:20 ET"
RIVN,14.53,Call,17.5,2023-07-21,45,0.56,0.57,0.58,0.56,8522,54082,"+16,789",71.97%,"15:19 ET"
AAPL,179.42,Call,185,2023-06-09,3,0.19,0.2,0.2,0.19,52393,58757,"+15,664",24.95%,"15:20 ET"
IOT,27.95,Put,25,2023-06-16,10,0.3,0.32,0.35,0.35,649,15091,"+14,642",77.69%,"14:58 ET"
AAPL,179.42,Put,180,2023-06-09,3,1.6,1.61,1.62,1.6,33456,28653,"+14,629",21.84%,"15:20 ET"
PYPL,65.04,Call,72.5,2023-07-21,45,0.78,0.79,0.8,0.8,16397,34819,"+14,388",32.68%,"15:20 ET"
AAPL,179.42,Put,177.5,2023-06-09,3,0.6,0.61,0.61,0.6,74101,24642,"+12,993",22.09%,"15:21 ET"
CHPT,9.47,Call,9.5,2023-06-09,3,0.24,0.25,0.25,0.24,3305,31303,"+12,555",68.55%,"15:20 ET"
SOFI,7.66,Call,7.5,2023-06-09,3,0.31,0.32,0.33,0.31,32289,26590,"+12,549",71.05%,"15:20 ET"
COIN,51.46,Put,50,2023-06-09,3,1.83,1.86,1.89,1.88,24986,16388,"+12,391",137.89%,"15:20 ET"
GOOGL,127.9,Call,130,2023-06-09,3,0.39,0.4,0.4,0.39,29535,27240,"+12,282",25.23%,"15:20 ET"
U,36.1,Call,40,2023-06-09,3,0.31,0.32,0.33,0.31,20119,12311,"+12,163",114.57%,"15:20 ET"
AAPL,179.42,Call,185,2023-06-16,10,0.74,0.75,0.75,0.75,27457,109117,"+12,104",21.13%,"15:21 ET"
AAPL,179.42,Put,175,2023-06-09,3,0.19,0.2,0.2,0.2,45502,29944,"+11,698",23.57%,"15:20 ET"
U,36.1,Call,90,2024-01-19,227,0.74,0.76,0.78,0.78,11195,12379,"+11,374",71.75%,"15:01 ET"
MU,67.48,Put,68,2023-06-09,3,1.05,1.07,1.08,1.06,589,12199,"+10,806",31.82%,"15:14 ET"
ISEE,38.92,Call,40,2023-07-21,45,0.25,0.28,0.3,0.3,12287,24036,"+10,329",11.50%,"15:01 ET"
U,36.1,Call,100,2024-01-19,227,0.54,0.58,0.61,0.58,11242,14040,"+10,309",73.12%,"15:17 ET"
AAPL,179.42,Put,170,2024-01-19,227,7.8,7.85,7.9,7.9,1708,54542,"+9,856",25.45%,"14:55 ET"
NVDA,387.82,Call,420,2023-06-09,3,0.28,0.29,0.29,0.28,21249,19997,"+9,399",48.93%,"15:20 ET"
GOOGL,127.9,Call,131,2023-06-09,3,0.23,0.24,0.24,0.23,6560,10707,"+9,306",25.94%,"15:19 ET"
TSLA,220.1,Call,245,2023-06-09,3,0.18,0.19,0.19,0.19,4232,13895,"+9,015",65.91%,"15:20 ET"
AAPL,179.42,Put,172.5,2023-06-16,10,0.52,0.53,0.53,0.52,4818,15169,"+8,762",23.77%,"15:20 ET"
F,12.9,Call,14.35,2024-01-19,227,0.83,0.84,0.84,0.83,1673,119590,"+8,617",37.14%,"15:19 ET"
AAPL,179.42,Put,185,2023-06-09,3,5.45,5.5,5.55,5.5,2664,10478,"+8,514",23.13%,"15:20 ET"
PLTR,15.58,Call,16,2023-06-09,3,0.25,0.26,0.26,0.26,23749,18576,"+8,469",78.75%,"15:20 ET"
MRVL,59.1,Call,60,2023-06-16,10,1.33,1.35,1.37,1.36,2819,16172,"+8,442",44.02%,"15:19 ET"
TSLA,220.1,Put,200,2023-07-07,31,4.85,4.95,5.05,4.95,561,8857,"+8,423",52.04%,"15:20 ET"
BAC,29.12,Put,30,2023-07-21,45,1.43,1.44,1.44,1.42,912,21357,"+8,406",23.22%,"15:16 ET"
U,36.1,Call,45,2023-06-09,3,0.11,0.11,0.12,0.11,5646,8052,"+8,050",149.42%,"15:20 ET"
TSLA,220.1,Call,225,2023-06-09,3,2.17,2.19,2.2,2.18,86327,24521,"+7,777",53.32%,"15:20 ET"
PLTR,15.58,Put,15,2023-06-09,3,0.18,0.19,0.19,0.19,9250,10189,"+7,535",73.81%,"15:21 ET"
LI,31.93,Call,35,2023-07-21,45,1.09,1.11,1.13,1.11,10567,7606,"+7,430",48.66%,"15:20 ET"
MRVL,59.1,Call,57,2023-06-09,3,2.28,2.32,2.36,2.32,6345,7510,"+7,336",40.34%,"15:01 ET"
DIS,92.19,Call,92,2023-06-09,3,0.94,0.95,0.96,0.95,20193,11061,"+7,333",25.03%,"15:20 ET"
TSLA,220.1,Put,215,2023-06-09,3,2.13,2.14,2.14,2.13,74135,13296,"+7,311",52.00%,"15:20 ET"
SOFI,7.66,Call,8,2023-06-09,3,0.11,0.11,0.12,0.11,28997,30080,"+7,301",81.10%,"15:20 ET"
NVDA,387.82,Call,400,2023-06-09,3,1.95,1.96,1.97,1.95,45672,16115,"+7,285",42.58%,"15:21 ET"
VALE,13.74,Call,14,2023-07-21,45,0.6,0.62,0.63,0.61,670,11640,"+7,283",38.27%,"15:12 ET"
IEP,24.07,Call,27.5,2023-07-21,45,1.85,1.88,1.9,1.85,2635,7686,"+7,104",100.65%,"15:16 ET"
NIO,7.82,Call,9,2023-07-21,45,0.43,0.44,0.45,0.45,22127,13680,"+7,060",77.53%,"15:01 ET"
BAC,29.12,Put,26,2023-07-21,45,0.23,0.24,0.24,0.23,655,33176,"+7,012",31.29%,"14:59 ET"
AAPL,179.42,Call,190,2023-06-16,10,0.2,0.21,0.21,0.21,7198,42431,"+6,987",22.46%,"15:20 ET"
TSLA,220.1,Put,210,2023-06-09,3,0.92,0.93,0.94,0.94,63020,14264,"+6,872",52.86%,"15:20 ET"
TMUS,128.09,Call,130,2023-07-21,45,3.75,3.83,3.9,3.8,613,10831,"+6,651",24.21%,"15:13 ET"
AAPL,179.42,Call,210,2023-09-15,101,0.55,0.56,0.57,0.57,616,11517,"+6,644",18.32%,"15:19 ET"
TSLA,220.1,Call,220,2023-06-09,3,4,4.03,4.05,4.01,147287,32770,"+6,328",51.68%,"15:20 ET"
AAPL,179.42,Put,182.5,2023-06-09,3,3.25,3.3,3.35,3.31,3785,10109,"+6,238",22.35%,"15:20 ET"
AAPL,179.42,Call,215,2024-01-19,227,2.44,2.47,2.5,2.45,534,32246,"+6,176",19.05%,"14:57 ET"
DOCS,34.3,Call,37.5,2023-06-16,10,0.3,0.32,0.35,0.35,2040,6194,"+6,025",59.94%,"15:18 ET"
AMZN,126.81,Put,125,2023-07-21,45,3.6,3.65,3.7,3.65,3687,11385,"+5,967",26.95%,"15:20 ET"
GOOGL,127.9,Call,129,2023-06-09,3,0.65,0.66,0.66,0.66,21364,21919,"+5,908",25.02%,"15:20 ET"
AAPL,179.42,Call,200,2023-07-21,45,0.27,0.28,0.28,0.28,8008,42047,"+5,888",18.12%,"15:20 ET"
XPEV,8.61,Call,10,2023-07-21,45,0.35,0.37,0.38,0.36,19030,36386,"+5,606",66.89%,"15:19 ET"
TSLA,220.1,Put,200,2023-06-09,3,0.17,0.18,0.18,0.18,25937,20242,"+5,461",59.31%,"15:20 ET"
TSLA,220.1,Put,205,2023-06-09,3,0.38,0.39,0.39,0.38,25339,16167,"+5,435",54.65%,"15:20 ET"
MRVL,59.1,Call,59,2023-06-09,3,0.94,0.96,0.97,1.03,6820,5992,"+5,414",41.17%,"15:07 ET"
PLTR,15.58,Call,16.5,2023-06-09,3,0.14,0.15,0.15,0.15,4277,8126,"+5,412",83.43%,"15:20 ET"
MPW,8.97,Call,8,2023-06-09,3,0.95,0.97,0.99,0.9,1211,9689,"+5,373",91.58%,"14:44 ET"
BHC,7.09,Put,7.5,2023-06-16,10,0.54,0.61,0.67,0.59,5341,5314,"+5,312",67.20%,"14:50 ET"
SNAP,10.57,Call,10.5,2023-06-09,3,0.25,0.26,0.26,0.25,7732,19123,"+5,269",53.04%,"15:17 ET"
AMZN,126.81,Call,125,2023-07-21,45,6.05,6.1,6.15,6.16,2953,34514,"+5,256",27.12%,"15:19 ET"
TSLA,220.1,Call,250,2023-06-09,3,0.11,0.11,0.12,0.12,8101,15119,"+5,128",70.27%,"15:20 ET"
AMC,4.63,Call,5,2023-06-16,10,0.1,0.11,0.11,0.11,9313,80287,"+5,107",78.47%,"15:20 ET"
