Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
AMZN,132.78,Call,115,2024-02-16,109,23.25,23.3,23.35,23.2,7598,151439,"+150,345",40.38%,"14:32 ET"
KVUE,18.67,Call,21,2024-02-16,109,0.5,0.55,0.6,0.55,3994,41736,"+26,516",32.20%,"15:12 ET"
TSLA,197.33,Call,220,2023-11-03,4,0.33,0.34,0.34,0.33,71623,43732,"+21,490",62.69%,"15:19 ET"
AMZN,132.78,Call,135,2023-11-03,4,1.08,1.09,1.09,1.07,23931,30198,"+18,832",35.81%,"15:19 ET"
AAPL,170.25,Call,180,2023-11-03,4,0.37,0.38,0.38,0.38,14163,53529,"+17,358",42.29%,"15:20 ET"
X,33.79,Call,34,2023-11-10,11,0.61,0.63,0.65,0.59,10602,13215,"+12,270",31.69%,"15:11 ET"
XPO,77.88,Put,65,2023-11-17,18,0.25,0.3,0.35,0.3,7804,12638,"+11,254",57.99%,"15:14 ET"
AAPL,170.25,Put,157.5,2023-11-17,18,1.3,1.31,1.31,1.31,1330,11812,"+10,649",38.21%,"15:12 ET"
ET,13.15,Call,14,2024-04-19,172,0.46,0.48,0.49,0.46,7506,15921,"+10,256",24.41%,"15:17 ET"
VALE,13.51,Put,13,2023-11-17,18,0.18,0.19,0.2,0.19,5139,28396,"+9,841",34.09%,"15:19 ET"
AMZN,132.78,Call,132.5,2024-01-19,81,9.05,9.1,9.15,9.06,4064,24381,"+9,758",32.78%,"15:10 ET"
COIN,73.48,Put,60,2023-11-03,4,0.53,0.55,0.56,0.54,1365,10199,"+9,291",156.28%,"15:16 ET"
COIN,73.48,Put,61,2023-11-03,4,0.58,0.62,0.65,0.62,1143,9125,"+9,000",152.71%,"15:19 ET"
F,9.75,Call,11,2023-12-15,46,0.11,0.11,0.12,0.12,3503,15921,"+8,901",35.31%,"15:18 ET"
AMD,96.44,Call,105,2023-11-03,4,0.86,0.87,0.88,0.88,10641,13464,"+8,513",85.95%,"15:19 ET"
AMZN,132.78,Call,130,2023-11-03,4,3.85,3.9,3.95,3.9,32821,24174,"+8,385",40.86%,"15:19 ET"
